Nr.,Kt.,bfs_gmde_nummer_1970,bfs_gmde_name_1970,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung in %,leer,ungültig,Gültige Stimmen,JA,NEIN,JA in %
1,ZH,1,Aeugst,216.0,172.0,79.62962962962963,,,170,60,110,35.294117647058826
1,ZH,2,Affoltern am Albis,1620.0,1306.0,80.61728395061728,,,1292,533,759,41.25386996904025
1,ZH,3,Bonstetten,453.0,369.0,81.45695364238411,,,364,144,220,39.56043956043956
1,ZH,4,Hausen am Albis,500.0,404.0,80.8,,,399,184,215,46.11528822055138
1,ZH,5,Hedingen,459.0,364.0,79.30283224400871,,,360,130,230,36.111111111111114
1,ZH,6,Kappel am Albis,171.0,157.0,91.81286549707602,,,156,94,62,60.25641025641026
1,ZH,7,Knonau,236.0,183.0,77.54237288135593,,,181,65,116,35.91160220994475
1,ZH,8,Maschwanden,129.0,108.0,83.72093023255815,,,106,37,69,34.905660377358494
1,ZH,9,Mettmenstetten,504.0,419.0,83.13492063492063,,,416,171,245,41.10576923076923
1,ZH,10,Obfelden,544.0,413.0,75.91911764705883,,,407,187,220,45.945945945945944
1,ZH,11,Ottenbach,340.0,274.0,80.58823529411765,,,269,123,146,45.72490706319702
1,ZH,12,Rifferswil,157.0,124.0,78.98089171974522,,,123,45,78,36.58536585365854
1,ZH,13,Stallikon,296.0,232.0,78.37837837837837,,,231,78,153,33.76623376623377
1,ZH,14,Wettswil,402.0,331.0,82.33830845771145,,,327,95,232,29.051987767584095
1,ZH,21,Adlikon,115.0,100.0,86.95652173913044,,,99,59,40,59.5959595959596
1,ZH,22,Benken (ZH),156.0,141.0,90.38461538461539,,,139,71,68,51.07913669064748
1,ZH,23,Berg am Irchel,126.0,110.0,87.30158730158729,,,109,60,49,55.04587155963303
1,ZH,24,Buch am Irchel,131.0,111.0,84.73282442748092,,,107,64,43,59.81308411214953
1,ZH,25,Dachsen,229.0,189.0,82.53275109170306,,,185,74,111,40.0
1,ZH,26,Dorf,91.0,79.0,86.81318681318682,,,77,39,38,50.64935064935065
1,ZH,27,Feuerthalen,829.0,659.0,79.49336550060313,,,653,293,360,44.8698315467075
1,ZH,28,Flaach,248.0,225.0,90.7258064516129,,,224,116,108,51.78571428571429
1,ZH,29,Flurlingen,228.0,195.0,85.52631578947368,,,192,88,104,45.833333333333336
1,ZH,30,Andelfingen,371.0,322.0,86.79245283018868,,,317,120,197,37.85488958990536
