Kantons-Nr.,Kanton,bfs_gmde_nummer_2014,bfs_gmde_name_2014,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung,Gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in %
1,ZH,1,Aeugst am Albis,1374,861,62.66375545851528,854,415,439,48.594847775175644
1,ZH,2,Affoltern am Albis,7008,3814,54.42351598173516,3783,1947,1836,51.4670896114195
1,ZH,3,Bonstetten,3570,2283,63.949579831932766,2264,1135,1129,50.13250883392226
1,ZH,4,Hausen am Albis,2407,1492,61.98587453261322,1478,699,779,47.2936400541272
1,ZH,5,Hedingen,2449,1609,65.70028583095142,1594,732,862,45.92220828105395
1,ZH,6,Kappel am Albis,659,408,61.91198786039453,402,234,168,58.2089552238806
1,ZH,7,Knonau,1333,821,61.59039759939985,812,429,383,52.83251231527094
1,ZH,8,Maschwanden,465,277,59.56989247311828,276,147,129,53.2608695652174
1,ZH,9,Mettmenstetten,3085,1975,64.0194489465154,1955,993,962,50.7928388746803
1,ZH,10,Obfelden,3147,1884,59.86653956148713,1870,1047,823,55.98930481283423
1,ZH,11,Ottenbach,1830,1202,65.68306010928961,1193,605,588,50.71248952221291
1,ZH,12,Rifferswil,698,466,66.7621776504298,465,213,252,45.806451612903224
1,ZH,13,Stallikon,2267,1479,65.24040582267313,1465,795,670,54.26621160409556
1,ZH,14,Wettswil am Albis,3250,2137,65.75384615384615,2125,1012,1113,47.6235294117647
1,ZH,21,Adlikon,448,306,68.30357142857143,301,217,84,72.09302325581395
1,ZH,22,Benken (ZH),613,387,63.1321370309951,387,233,154,60.20671834625323
1,ZH,23,Berg am Irchel,460,337,73.26086956521739,336,216,120,64.28571428571429
1,ZH,24,Buch am Irchel,664,428,64.45783132530121,425,272,153,64.0
1,ZH,25,Dachsen,1317,877,66.5907365223994,867,451,416,52.01845444059977
1,ZH,26,Dorf,461,313,67.89587852494577,310,217,93,70.0
1,ZH,27,Feuerthalen,2221,1230,55.38045925258892,1211,698,513,57.63831544178365
1,ZH,28,Flaach,946,604,63.8477801268499,597,398,199,66.66666666666666
1,ZH,29,Flurlingen,982,659,67.10794297352342,651,314,337,48.23348694316436
1,ZH,30,Andelfingen,1478,997,67.45602165087958,984,503,481,51.117886178861795
1,ZH,31,Henggart,1579,1015,64.2811906269791,1009,564,445,55.89692765113974
1,ZH,32,Humlikon,362,249,68.78453038674033,249,155,94,62.24899598393574
1,ZH,33,Kleinandelfingen,1442,892,61.858529819694866,885,526,359,59.43502824858757
1,ZH,34,Laufen-Uhwiesen,1175,732,62.29787234042553,724,413,311,57.04419889502762
1,ZH,35,Marthalen,1466,943,64.32469304229194,935,599,336,64.06417112299465
1,ZH,36,Oberstammheim,892,564,63.22869955156951,560,312,248,55.714285714285715
1,ZH,37,Ossingen,986,604,61.257606490872206,596,343,253,57.5503355704698
1,ZH,38,Rheinau,915,597,65.24590163934427,588,282,306,47.95918367346938
1,ZH,39,Thalheim an der Thur,652,383,58.742331288343564,381,261,120,68.50393700787401
1,ZH,40,Trüllikon,760,456,60.0,451,296,155,65.6319290465632
1,ZH,41,Truttikon,335,247,73.73134328358208,244,157,87,64.34426229508196
1,ZH,42,Unterstammheim,627,429,68.42105263157895,425,218,207,51.294117647058826
1,ZH,43,Volken,203,128,63.05418719211823,127,73,54,57.48031496062992
1,ZH,44,Waltalingen,518,343,66.21621621621621,340,216,124,63.52941176470588
1,ZH,51,Bachenbülach,2486,1287,51.76991150442478,1275,701,574,54.98039215686275
1,ZH,52,Bassersdorf,7081,3815,53.876571105776016,3781,2112,1669,55.85823856122719
1,ZH,53,Bülach,11463,5946,51.87123789583878,5882,3285,2597,55.84835090105407
1,ZH,54,Dietlikon,4585,2633,57.426390403489634,2610,1378,1232,52.79693486590038
1,ZH,55,Eglisau,3045,1912,62.79146141215107,1895,995,900,52.5065963060686
1,ZH,56,Embrach,5475,2890,52.785388127853885,2868,1708,1160,59.5536959553696
1,ZH,57,Freienstein-Teufen,1627,1039,63.859864781807005,1025,563,462,54.926829268292686
1,ZH,58,Glattfelden,2925,1695,57.948717948717956,1677,1008,669,60.10733452593918
1,ZH,59,Hochfelden,1345,820,60.966542750929364,813,531,282,65.31365313653137
1,ZH,60,Höri,1504,740,49.202127659574465,739,511,228,69.14749661705007
1,ZH,61,Hüntwangen,731,471,64.43228454172366,470,283,187,60.21276595744681
1,ZH,62,Kloten,10754,5097,47.3963176492468,5053,2997,2056,59.31130021769246
1,ZH,63,Lufingen,1217,749,61.54478225143796,737,448,289,60.78697421981004
1,ZH,64,Nürensdorf,3805,2468,64.86202365308804,2451,1459,992,59.526723786209715
1,ZH,65,Oberembrach,826,506,61.25907990314769,504,331,173,65.67460317460318
1,ZH,66,Opfikon,7603,3448,45.35051953176378,3425,1992,1433,58.160583941605836
1,ZH,67,Rafz,2744,1722,62.755102040816325,1698,941,757,55.418138987043584
1,ZH,68,Rorbas,1548,761,49.16020671834625,748,429,319,57.35294117647059
1,ZH,69,Wallisellen,8844,4782,54.07055630936228,4747,2386,2361,50.263324204760906
1,ZH,70,Wasterkingen,431,288,66.8213457076566,285,179,106,62.807017543859644
1,ZH,71,Wil (ZH),989,652,65.92517694641052,641,395,246,61.62246489859594
1,ZH,72,Winkel,3025,1894,62.61157024793389,1885,1095,790,58.09018567639257
1,ZH,81,Bachs,469,283,60.3411513859275,279,192,87,68.81720430107528
1,ZH,82,Boppelsen,893,576,64.501679731243,572,316,256,55.24475524475524
1,ZH,83,Buchs (ZH),3786,2009,53.063919704173266,1995,1191,804,59.69924812030075
1,ZH,84,Dällikon,2227,1182,53.07588684328694,1172,736,436,62.79863481228669
1,ZH,85,Dänikon,1154,665,57.62564991334489,662,420,242,63.44410876132931
1,ZH,86,Dielsdorf,3535,1900,53.74823196605375,1890,1103,787,58.359788359788354
1,ZH,87,Hüttikon,498,311,62.44979919678715,310,223,87,71.93548387096774
1,ZH,88,Neerach,2279,1417,62.176393154892494,1407,842,565,59.84363894811656
1,ZH,89,Niederglatt,2854,1519,53.22354590049054,1506,989,517,65.67065073041168
1,ZH,90,Niederhasli,5379,2840,52.79791782859268,2820,1756,1064,62.269503546099294
1,ZH,91,Niederweningen,1840,1124,61.08695652173913,1114,579,535,51.97486535008977
1,ZH,92,Oberglatt,3396,1542,45.40636042402827,1532,954,578,62.271540469973885
1,ZH,93,Oberweningen,1118,707,63.23792486583184,697,422,275,60.54519368723099
1,ZH,94,Otelfingen,1746,1005,57.56013745704467,993,532,461,53.57502517623364
1,ZH,95,Regensberg,320,230,71.875,228,106,122,46.49122807017544
1,ZH,96,Regensdorf,9390,4860,51.75718849840255,4830,2999,1831,62.09109730848861
1,ZH,97,Rümlang,4265,2096,49.14419695193435,2083,1377,706,66.10657705232838
1,ZH,98,Schleinikon,524,315,60.1145038167939,315,184,131,58.41269841269842
1,ZH,99,Schöfflisdorf,962,603,62.68191268191268,597,352,245,58.96147403685092
1,ZH,100,Stadel,1491,838,56.203890006706914,824,530,294,64.32038834951457
1,ZH,101,Steinmaur,2095,1263,60.28639618138425,1251,735,516,58.752997601918466
1,ZH,102,Weiach,757,435,57.46367239101717,429,289,140,67.36596736596736
1,ZH,111,Bäretswil,3583,2212,61.735975439575775,2202,1368,834,62.125340599455036
1,ZH,112,Bubikon,4907,2974,60.60729570002038,2958,1693,1265,57.234617985125084
1,ZH,113,Dürnten,4784,2820,58.94648829431438,2800,1685,1115,60.17857142857142
1,ZH,114,Fischenthal,1614,972,60.223048327137555,954,676,278,70.85953878406708
1,ZH,115,Gossau (ZH),6821,3981,58.363876264477355,3940,2290,1650,58.121827411167516
1,ZH,116,Grüningen,2317,1407,60.72507552870091,1402,793,609,56.56205420827389
1,ZH,117,Hinwil,7447,4380,58.81563045521686,4342,2618,1724,60.29479502533395
1,ZH,118,Rüti (ZH),7721,4132,53.516383888097394,4103,2232,1871,54.399220082866194
1,ZH,119,Seegräben,906,461,50.88300220750553,455,222,233,48.79120879120879
1,ZH,120,Wald (ZH),5808,3100,53.374655647382916,3080,1746,1334,56.688311688311686
1,ZH,121,Wetzikon (ZH),14823,7672,51.75740403427107,7594,4219,3375,55.55701869897287
1,ZH,131,Adliswil,10352,5833,56.34659969088099,5794,2857,2937,49.309630652399036
1,ZH,132,Hirzel,1457,878,60.2608098833219,868,417,451,48.04147465437788
1,ZH,133,Horgen,11632,6404,55.055020632737275,6339,2985,3354,47.089446284902984
1,ZH,134,Hütten,676,376,55.62130177514793,375,232,143,61.86666666666667
1,ZH,135,Kilchberg (ZH),4716,3055,64.77947413061916,3023,1260,1763,41.68044988422097
1,ZH,136,Langnau am Albis,4540,2719,59.889867841409696,2694,1315,1379,48.812175204157384
1,ZH,137,Oberrieden,3481,2291,65.8144211433496,2266,946,1320,41.74757281553398
1,ZH,138,Richterswil,8522,5157,60.51396385824924,5109,2494,2615,48.81581522802897
1,ZH,139,Rüschlikon,3449,2177,63.11974485358075,2151,913,1238,42.445374244537426
1,ZH,140,Schönenberg (ZH),1431,903,63.102725366876314,898,520,378,57.906458797327396
1,ZH,141,Thalwil,10991,6664,60.63142571194614,6644,2810,3834,42.293798916315474
1,ZH,142,Wädenswil,13660,8037,58.836017569546115,7948,3792,4156,47.710115752390536
1,ZH,151,Erlenbach (ZH),3497,2278,65.14154989991421,2253,869,1384,38.57079449622725
1,ZH,152,Herrliberg,4101,2777,67.71519141672762,2752,1277,1475,46.40261627906977
1,ZH,153,Hombrechtikon,5445,3208,58.91643709825528,3185,1749,1436,54.913657770800626
1,ZH,154,Küsnacht (ZH),9127,6024,66.00197217048319,5964,2542,3422,42.6224010731053
1,ZH,155,Männedorf,7012,4622,65.91557330290931,4577,1983,2594,43.32532226349137
1,ZH,156,Meilen,8632,5505,63.774328081556995,5449,2454,2995,45.035786382822536
1,ZH,157,Oetwil am See,2674,1364,51.00972326103216,1354,798,556,58.93648449039882
1,ZH,158,Stäfa,9571,6212,64.90439870441959,6148,2652,3496,43.13597918022121
1,ZH,159,Uetikon am See,3955,2557,64.65233881163086,2530,1134,1396,44.82213438735178
1,ZH,160,Zumikon,3360,2289,68.125,2270,907,1363,39.95594713656387
1,ZH,161,Zollikon,8276,5432,65.63557274045434,5379,2014,3365,37.44190369957241
1,ZH,171,Bauma,3014,1848,61.31386861313869,1838,1273,565,69.26006528835691
1,ZH,172,Fehraltorf,4221,2468,58.469556977019664,2451,1320,1131,53.85556915544676
