bfs_gmde_nummer_1988,bfs_gmde_name_1988,Stimmberechtigte,Abgegebene Stimmen,Gültige Stimmen,JA
1,Aeugst am Albis,756,452,447,89
2,Affoltern am Albis,5384,2928,2882,973
3,Bonstetten,1721,1164,1150,307
4,Hausen am Albis,1694,1035,1029,287
5,Hedingen,1398,805,798,224
6,Kappel am Albis,450,341,339,84
7,Knonau,646,505,496,127
8,Maschwanden,328,251,247,68
9,Mettmenstetten,1842,1222,1211,316
10,Obfelden,2282,1189,1181,356
11,Ottenbach,1280,691,686,174
12,Rifferswil,412,342,334,69
13,Stallikon,1284,755,741,148
14,Wettswil am Albis,2270,1468,1458,433
21,Adlikon,345,280,277,83
22,Benken (ZH),434,360,352,103
23,Berg am Irchel,304,258,254,76
24,Buch am Irchel,360,275,272,97
25,Dachsen,830,539,533,144
26,Dorf,258,194,191,50
27,Feuerthalen,1836,968,954,293
28,Flaach,661,493,485,115
29,Flurlingen,784,546,541,134
30,Andelfingen,1054,730,719,203
31,Henggart,755,566,559,193
32,Humlikon,232,177,174,31
33,Kleinandelfingen,928,653,647,178
34,Laufen-Uhwiesen,961,620,612,167
35,Marthalen,1014,703,692,189
36,Oberstammheim,651,497,487,177
37,Ossingen,762,513,508,145
38,Rheinau,773,500,493,155
39,Thalheim an der Thur,366,282,278,101
40,Trüllikon,675,469,467,120
41,Truttikon,252,188,186,55
42,Unterstammheim,533,339,336,83
43,Volken,155,124,124,36
44,Waltalingen,360,267,264,72
51,Bachenbülach,1511,801,786,316
52,Bassersdorf,4260,2458,2422,873
53,Bülach,8059,4469,4413,1728
54,Dietlikon,3712,1948,1926,593
55,Eglisau,1725,1090,1078,294
56,Embrach,4083,1908,1895,686
57,Freienstein-Teufen,1039,645,633,236
58,Glattfelden,1908,995,984,358
59,Hochfelden,657,402,402,150
60,Höri,942,464,461,190
61,Hüntwangen,514,343,340,113
62,Kloten,9738,5102,5041,2123
63,Lufingen,590,391,388,114
64,Nürensdorf,2594,1649,1636,470
65,Oberembrach,600,397,395,111
66,Opfikon,7084,3293,3265,1365
67,Rafz,1583,1035,1026,368
68,Rorbas,1152,661,655,210
69,Wallisellen,7499,4085,4048,1275
70,Wasterkingen,323,219,213,71
71,Wil (ZH),724,458,452,136
72,Winkel,1539,995,985,313
81,Bachs,364,249,245,63
82,Boppelsen,529,335,332,74
83,Buchs (ZH),2031,1028,1021,362
84,Dällikon,1465,700,693,257
85,Dänikon,550,307,303,87
86,Dielsdorf,2580,1336,1329,563
87,Hüttikon,270,183,181,61
88,Neerach,1180,708,701,227
89,Niederglatt,2153,1072,1064,388
90,Niederhasli,3523,1839,1826,621
91,Niederweningen,926,584,574,191
92,Oberglatt,2405,1149,1135,508
93,Oberweningen,657,422,415,120
94,Otelfingen,1018,623,619,225
95,Regensberg,373,248,246,57
96,Regensdorf,7479,3650,3602,1529
97,Rümlang,3358,1718,1703,759
98,Schleinikon,368,251,250,70
99,Schöfflisdorf,658,433,430,157
100,Stadel,1018,684,680,245
101,Steinmaur,1611,925,915,283
102,Weiach,473,307,303,100
111,Bäretswil,2407,1607,1576,660
112,Bubikon,2814,1649,1621,575
113,Dürnten,3530,1932,1915,780
114,Fischenthal,1022,557,555,232
115,Gossau (ZH),4565,2591,2572,888
116,Grüningen,1576,983,967,322
117,Hinwil,5496,3153,3114,1182
118,Rüti (ZH),6389,3383,3336,1473
119,Seegräben,622,434,428,154
120,Wald (ZH),4576,2580,2545,1028
121,Wetzikon (ZH),10065,4965,4921,2177
131,Adliswil,10264,5294,5235,1796
132,Hirzel,1135,729,722,194
133,Horgen,10170,5825,5744,1947
134,Hütten,486,282,279,107
135,Kilchberg (ZH),5029,3184,3150,783
136,Langnau am Albis,4291,2320,2292,638
137,Oberrieden,3073,1905,1878,558
138,Richterswil,6183,3401,3365,1100
139,Rüschlikon,3302,2048,2027,501
140,Schönenberg (ZH),1118,708,701,205
141,Thalwil,10396,5813,5747,1695
142,Wädenswil,11985,6678,6598,2168
151,Erlenbach (ZH),2921,1817,1805,458
152,Herrliberg,3206,2030,2007,441
153,Hombrechtikon,4242,2556,2538,770
154,Küsnacht (ZH),8756,5670,5604,1406
155,Männedorf,5086,3164,3130,919
156,Meilen,7340,4706,4647,1227
157,Oetwil am See,1931,981,970,299
158,Stäfa,7036,4210,4158,1174
159,Uetikon am See,2461,1607,1591,443
160,Zumikon,3124,2153,2133,423
161,Zollikon,8464,5015,4961,1217
171,Bauma,2215,1276,1259,573
172,Fehraltorf,2231,1285,1271,456
173,Hittnau,1292,770,763,252
174,Illnau-Effretikon,8981,4961,4905,1820
175,Kyburg,230,191,186,81
176,Lindau,1931,1148,1135,421
177,Pfäffikon,5473,3177,3138,1152
178,Russikon,2113,1324,1306,403
179,Sternenberg,238,141,137,46
180,Weisslingen,1564,977,965,355
181,Wila,957,688,679,285
182,Wildberg,502,400,392,115
191,Dübendorf,13179,6637,6575,2698
192,Egg,3965,2377,2346,708
193,Fällanden,4173,2252,2232,615
194,Greifensee,3269,1800,1778,558
195,Maur,4674,2897,2862,684
196,Mönchaltorf,2110,1282,1274,385
197,Schwerzenbach,2084,1103,1095,381
198,Uster,14837,8514,8408,3200
199,Volketswil,7240,3519,3493,1407
200,Wangen-Brüttisellen,2676,1352,1335,497
211,Altikon,357,252,250,83
212,Bertschikon,616,418,418,148
213,Brütten,944,675,665,168
214,Dägerlen,454,347,336,107
215,Dättlikon,326,228,226,81
216,Dinhard,819,586,583,144
217,Elgg,2139,1481,1464,505
218,Ellikon an der Thur,397,286,284,122
219,Elsau,1763,1104,1085,391
220,Hagenbuch,476,335,330,114
221,Hettlingen,1179,831,819,254
222,Hofstetten bei Elgg,282,211,209,55
