Kantons-Nr.,Kanton,bfs_gmde_nummer_2017,bfs_gmde_name_2017,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung,Leere,Ungültige,Gültige,Ja-Stimmen,Nein-Stimmen,Ja in %
1,ZH,1,Aeugst am Albis,1395,762,54.623656,3,0,759,508,251,66.930171
1,ZH,2,Affoltern am Albis,7088,3150,44.441309,9,0,3141,1862,1279,59.280484
1,ZH,3,Bonstetten,3631,2191,60.341504,9,0,2182,1408,774,64.527956
1,ZH,4,Hausen am Albis,2453,1285,52.384835,2,0,1283,821,462,63.990647
1,ZH,5,Hedingen,2498,1377,55.124099,7,0,1370,888,482,64.817518
1,ZH,6,Kappel am Albis,695,325,46.76259,1,0,324,169,155,52.160494
1,ZH,7,Knonau,1382,657,47.539797,1,0,656,397,259,60.518293
1,ZH,8,Maschwanden,448,228,50.892857,1,0,227,137,90,60.352423
1,ZH,9,Mettmenstetten,3292,1786,54.252734,6,0,1780,1112,668,62.47191
1,ZH,10,Obfelden,3271,1580,48.303271,5,0,1575,881,694,55.936508
1,ZH,11,Ottenbach,1855,993,53.530997,1,0,992,602,390,60.685484
1,ZH,12,Rifferswil,724,416,57.458564,1,0,415,275,140,66.26506
1,ZH,13,Stallikon,2354,1225,52.039082,4,0,1221,758,463,62.080262
1,ZH,14,Wettswil am Albis,3414,1907,55.858231,10,0,1897,1185,712,62.467053
1,ZH,21,Adlikon,481,270,56.133056,1,1,268,118,150,44.029851
1,ZH,22,Benken (ZH),615,299,48.617886,1,0,298,144,154,48.322148
1,ZH,23,Berg am Irchel,443,262,59.142212,1,0,261,125,136,47.89272
1,ZH,24,Buch am Irchel,669,332,49.626308,2,0,330,157,173,47.575758
1,ZH,25,Dachsen,1357,698,51.436993,4,0,694,407,287,58.645533
1,ZH,26,Dorf,463,235,50.75594,4,0,231,102,129,44.155844
1,ZH,27,Feuerthalen,2205,1070,48.526077,2,0,1068,604,464,56.554307
1,ZH,28,Flaach,943,478,50.68929,1,0,477,211,266,44.234801
1,ZH,29,Flurlingen,989,549,55.510617,2,0,547,347,200,63.436929
1,ZH,30,Andelfingen,1496,888,59.358289,0,0,888,521,367,58.671171
1,ZH,31,Henggart,1596,856,53.634085,2,0,854,463,391,54.215457
1,ZH,32,Humlikon,353,180,50.991501,0,0,180,84,96,46.666667
1,ZH,33,Kleinandelfingen,1435,798,55.609756,4,0,794,414,380,52.141058
1,ZH,34,Laufen-Uhwiesen,1162,586,50.430293,2,1,583,321,262,55.060034
1,ZH,35,Marthalen,1420,767,54.014085,0,0,767,322,445,41.981747
1,ZH,36,Oberstammheim,863,464,53.765933,2,0,462,271,191,58.658009
1,ZH,37,Ossingen,1054,551,52.27704,0,0,551,291,260,52.813067
1,ZH,38,Rheinau,862,497,57.656613,6,0,491,317,174,64.562118
1,ZH,39,Thalheim an der Thur,667,345,51.724138,1,0,344,150,194,43.604651
1,ZH,40,Trüllikon,795,419,52.704403,2,0,417,196,221,47.002398
1,ZH,41,Truttikon,346,195,56.358382,0,0,195,95,100,48.717949
1,ZH,42,Unterstammheim,638,382,59.874608,3,0,379,220,159,58.047493
1,ZH,43,Volken,232,107,46.12069,2,0,105,51,54,48.571429
1,ZH,44,Waltalingen,490,268,54.693878,0,0,268,119,149,44.402985
1,ZH,51,Bachenbülach,2460,1109,45.081301,9,0,1100,576,524,52.363636
1,ZH,52,Bassersdorf,7107,3126,43.984804,8,0,3118,1707,1411,54.746632
1,ZH,53,Bülach,11755,5001,42.543598,0,1,5000,2812,2188,56.24
1,ZH,54,Dietlikon,4708,2305,48.959218,7,0,2298,1404,894,61.096606
1,ZH,55,Eglisau,3137,1655,52.757412,6,0,1649,974,675,59.066101
1,ZH,56,Embrach,5369,2253,41.963122,7,0,2246,1133,1113,50.445236
1,ZH,57,Freienstein-Teufen,1634,842,51.529988,3,0,839,464,375,55.303933
1,ZH,58,Glattfelden,3056,1341,43.88089,5,0,1336,626,710,46.856287
1,ZH,59,Hochfelden,1313,646,49.200305,1,0,645,291,354,45.116279
1,ZH,60,Höri,1473,602,40.868975,2,0,600,255,345,42.5
1,ZH,61,Hüntwangen,721,417,57.836338,2,0,415,226,189,54.457831
