Geburtsort - Total,"Gleiche Gemeinde, gleicher Kanton","Andere Gemeinde, gleicher Kanton","Andere Gemeinde, anderer Kanton",Im Ausland,"In der Schweiz, ohne weitere Angabe",Ohne Angabe,bfs_gmde_nummer_2000,bfs_gmde_name_2000
1544,319,688,319,157,4,57,0001,Aeugst am Albis
10314,2422,2541,2242,2557,53,499,0002,Affoltern am Albis
3893,701,1507,932,654,21,78,0003,Bonstetten
3040,779,905,893,372,14,77,0004,Hausen am Albis
2991,669,1063,652,526,13,68,0005,Hedingen
865,301,219,239,76,7,23,0006,Kappel am Albis
1445,338,391,487,174,12,43,0007,Knonau
553,229,149,117,34,5,19,0008,Maschwanden
3724,944,1179,1011,464,18,108,0009,Mettmenstetten
4182,999,1344,1009,702,21,107,0010,Obfelden
2164,531,767,574,248,7,37,0011,Ottenbach
714,206,269,170,55,2,12,0012,Rifferswil
2608,414,1054,612,459,15,54,0013,Stallikon
3784,579,1513,978,601,30,83,0014,Wettswil am Albis
587,221,203,90,39,24,10,0021,Adlikon
704,261,203,152,69,8,11,0022,Benken (ZH)
573,210,200,93,50,2,18,0023,Berg am Irchel
728,302,252,91,55,11,17,0024,Buch am Irchel
1533,321,372,611,184,10,35,0025,Dachsen
593,196,231,86,61,4,15,0026,Dorf
2973,645,440,1212,554,25,97,0027,Feuerthalen
1164,411,368,200,148,7,30,0028,Flaach
1248,258,221,569,152,10,38,0029,Flurlingen
1644,349,573,380,291,7,44,0030,Andelfingen
1621,365,676,332,217,9,22,0031,Henggart
408,113,153,91,39,8,4,0032,Humlikon
1821,518,659,346,253,8,37,0033,Kleinandelfingen
1369,337,319,522,157,5,29,0034,Laufen-Uhwiesen
1803,619,549,360,197,16,62,0035,Marthalen
1064,407,287,259,75,3,33,0036,Oberstammheim
1272,366,444,253,164,4,41,0037,Ossingen
1645,407,318,322,300,6,292,0038,Rheinau
637,191,246,98,81,3,18,0039,Thalheim an der Thur
989,319,334,195,104,8,29,0040,Trüllikon
435,126,152,101,51,1,4,0041,Truttikon
845,329,244,165,81,4,22,0042,Unterstammheim
268,99,91,44,29,0,5,0043,Volken
684,255,207,148,58,4,12,0044,Waltalingen
3083,568,828,665,922,25,75,0051,Bachenbülach
7515,1530,2404,1693,1625,31,232,0052,Bassersdorf
13999,3725,3724,2754,3279,71,446,0053,Bülach
6281,1097,2046,1437,1491,27,183,0054,Dietlikon
2893,755,897,620,508,23,90,0055,Eglisau
7744,1722,2096,1608,1756,36,526,0056,Embrach
2127,497,797,430,322,8,73,0057,Freienstein-Teufen
3544,1017,1098,546,752,20,111,0058,Glattfelden
1579,298,636,330,258,8,49,0059,Hochfelden
2300,546,675,356,641,9,73,0060,Höri
782,262,290,138,66,5,21,0061,Hüntwangen
17190,3456,3716,4142,5011,88,777,0062,Kloten
1172,218,455,269,212,6,12,0063,Lufingen
4475,916,1694,1097,668,23,77,0064,Nürensdorf
990,273,407,218,81,6,5,0065,Oberembrach
12062,1925,2584,2502,4544,63,444,0066,Opfikon
3395,1149,881,681,608,8,68,0067,Rafz
2201,463,813,417,439,17,52,0068,Rorbas
11939,2208,3664,2666,3026,63,312,0069,Wallisellen
560,201,155,87,50,67,0,0070,Wasterkingen
1317,455,440,225,146,4,47,0071,Wil (ZH)
3317,605,1273,848,505,16,70,0072,Winkel
