bfs_gmde_name,name_variant
Appenzell,Appenzello
Basel,Bâle
Basel,Basilea
Bellinzona,Bellinzone
Bern,Berne
Bern,Berna
Biel/Bienne,Biel (BE)
Biel/Bienne,Bienne
Biel/Bienne,Bienna
Brig-Glis,Brigue-Glis
Brig-Glis,Briga-Glis
Burgdorf,Berthoud
Chur,Coire
Chur,Coira
Chur,Cuira
Courgevaux,Gurwolf
Delémont,Delsberg
Delémont,Delemunt
Düdingen,Guin
Erlach,Cerlier
Evilard,Leubringen
Fribourg,Freiburg
Fribourg,Friburgo
Fribourg,Friburg
Gampelen,Champion
Genève,Genf
Genève,Ginevra
Genève,Genevra
Genève,Geneva
Giffers,Chevrilles
Glarus,Glaris
Glarus,Glarona
Glarus,Glaruna
Grenchen,Granges (SO)
Gruyères,Greyerz
Gruyères,Gruyère
Gurmels,Cormondes
Ins,Anet
Jaun,Bellegarde
Kerzers,Chiètres (FR)
La Neuveville,Neuenstadt
Laufen,Laufon
Lausanne,Losanna
Lengnau (BE),Longeau
Leuk,Loèche-Ville
Leukerbad,Loèche-les-Bains
Ligerz,Gléresse
Luzern,Lucerne
Luzern,Lucerna
Meyriez,Merlach
Moutier,Münster (BE)
Münchenwiler,Montilier
Muntelier,Morat
Murten,Villars-les-Moines
Neuchâtel,Neuenburg
Pieterlen,Perles
Plaffeien,Planfayon
Porrentruy,Pruntrut
Raron,Rarogne
Rechthalten,Dirlaret
Saanen,Gessenay
Saint-Imier,St. Immer
Salgesch,Salquenen
Schaffhausen,Schaffhouse
Schaffhausen,Sciaffusa
Schaffhausen,Schaffusa
Schelten,La Scheulte
Schwyz,Svitto
Schwyz,Sviz
Sierre,Siders
Simplon,Sempione
Sion,Sitten
Solothurn,Soleure
Solothurn,Soletta
Solothurn,Soloturn
St. Gallen,Saint-Gall
St. Gallen,San Gallo
St. Gallen,Son Gagl
St. Niklaus,Saint-Nicolas
St. Silvester,Saint-Silvestre
St. Stephan,Saint-Etienne
St. Ursen,Saint-Ours
Tafers,Tavel
Tentlingen,Tinterin
Thun,Thoune
Twann-Tüscherz,Douanne-Daucher
Ulmiz,Ormey
Varen,Varone
Visp,Viège
Winterthur,Winterthour
Zofingen,Zofingue
Zug,Zoug
Zug,Zugo
Zürich,Zurich
Zürich,Zurigo
Zürich,Turitg
