Kantons-Nummer,Kanton,bfs_gmde_nummer_2020,bfs_gmde_name_2020,Stimmberechtigte,eingelegte Stimmzettel,Stimmbeteiligung,leere Stimmzettel,ungültige Stimmzettel,gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in Prozent
1,Zürich,1,Aeugst am Albis,1424,1008,70.7865168539326,5,0,1003,401,602,39.9800598205384
1,Zürich,2,Affoltern am Albis,7166,4123,57.535584705554,24,0,4099,1597,2502,38.9607221273481
1,Zürich,3,Bonstetten,3650,2554,69.972602739726,16,0,2538,857,1681,33.7667454688731
1,Zürich,4,Hausen am Albis,2552,1708,66.9278996865204,9,0,1699,638,1061,37.5515008828723
1,Zürich,5,Hedingen,2521,1763,69.9325664418882,4,3,1756,619,1137,35.250569476082
1,Zürich,6,Kappel am Albis,783,515,65.7726692209451,4,0,511,236,275,46.1839530332681
1,Zürich,7,Knonau,1502,975,64.91344873502,6,0,969,380,589,39.2156862745098
1,Zürich,8,Maschwanden,454,311,68.5022026431718,3,0,308,144,164,46.7532467532468
1,Zürich,9,Mettmenstetten,3588,2379,66.304347826087,26,0,2353,930,1423,39.5240118997025
1,Zürich,10,Obfelden,3539,2070,58.4910991805595,0,5,2065,875,1190,42.3728813559322
1,Zürich,11,Ottenbach,1884,1283,68.099787685775,12,1,1270,491,779,38.6614173228347
1,Zürich,12,Rifferswil,776,554,71.3917525773196,3,0,551,187,364,33.9382940108893
1,Zürich,13,Stallikon,2369,1565,66.061629379485,10,0,1555,585,970,37.6205787781351
1,Zürich,14,Wettswil am Albis,3434,2433,70.8503203261503,15,0,2418,823,1595,34.0363937138131
1,Zürich,21,Adlikon,494,359,72.672064777328,3,0,356,208,148,58.4269662921348
1,Zürich,22,Benken (ZH),594,370,62.2895622895623,4,0,366,192,174,52.4590163934426
1,Zürich,23,Berg am Irchel,451,342,75.8314855875832,4,0,338,184,154,54.4378698224852
1,Zürich,24,Buch am Irchel,709,486,68.5472496473907,3,0,483,254,229,52.5879917184265
1,Zürich,25,Dachsen,1354,848,62.629246676514,3,0,845,322,523,38.1065088757397
1,Zürich,26,Dorf,479,309,64.5093945720251,4,0,305,168,137,55.0819672131148
1,Zürich,27,Feuerthalen,2290,1326,57.9039301310044,16,1,1309,527,782,40.2597402597403
1,Zürich,28,Flaach,982,634,64.5621181262729,3,0,631,332,299,52.6148969889065
1,Zürich,29,Flurlingen,1036,699,67.4710424710425,8,0,691,239,452,34.5875542691751
1,Zürich,30,Andelfingen,1526,1054,69.0694626474443,11,1,1042,386,656,37.0441458733205
1,Zürich,31,Henggart,1667,1116,66.9466106778644,8,0,1108,474,634,42.7797833935018
1,Zürich,32,Humlikon,344,242,70.3488372093024,1,0,241,129,112,53.5269709543569
1,Zürich,33,Kleinandelfingen,1468,960,65.3950953678474,10,0,950,436,514,45.8947368421053
1,Zürich,34,Laufen-Uhwiesen,1272,791,62.185534591195,10,0,781,347,434,44.4302176696543
1,Zürich,35,Marthalen,1388,923,66.4985590778098,10,0,913,465,448,50.9309967141293
1,Zürich,37,Ossingen,1223,791,64.6770237121832,10,0,781,364,417,46.606914212548
1,Zürich,38,Rheinau,863,588,68.1344148319815,6,0,582,231,351,39.6907216494845
1,Zürich,39,Thalheim an der Thur,674,467,69.2878338278932,6,0,461,264,197,57.2668112798265
1,Zürich,40,Trüllikon,810,518,63.9506172839506,4,0,514,290,224,56.420233463035
1,Zürich,41,Truttikon,358,260,72.6256983240224,2,0,258,125,133,48.4496124031008
1,Zürich,43,Volken,253,169,66.798418972332,5,0,164,84,80,51.219512195122
1,Zürich,51,Bachenbülach,2535,1453,57.3175542406312,7,0,1446,601,845,41.5629322268327
1,Zürich,52,Bassersdorf,7271,3966,54.5454545454546,26,0,3940,1639,2301,41.5989847715736
1,Zürich,53,Bülach,12736,6806,53.4390703517588,70,2,6734,2685,4049,39.8722898722899
1,Zürich,54,Dietlikon,4759,2695,56.6295440218533,21,0,2674,1029,1645,38.4816753926702
1,Zürich,55,Eglisau,3262,2059,63.1207847946045,8,0,2051,822,1229,40.0780107264749
1,Zürich,56,Embrach,5501,2948,53.5902563170333,25,1,2922,1369,1553,46.8514715947981
1,Zürich,57,Freienstein-Teufen,1697,1081,63.7006482027107,11,0,1070,422,648,39.4392523364486
1,Zürich,58,Glattfelden,3163,1755,55.4852987669934,3,0,1752,843,909,48.1164383561644
1,Zürich,59,Hochfelden,1362,820,60.2055800293686,2,0,818,399,419,48.7775061124695
1,Zürich,60,Höri,1530,744,48.6274509803922,9,0,735,406,329,55.2380952380953
1,Zürich,61,Hüntwangen,763,485,63.564875491481,3,2,480,238,242,49.5833333333333
1,Zürich,62,Kloten,11181,5308,47.4733923620428,22,0,5286,2406,2880,45.516458569807
1,Zürich,63,Lufingen,1526,936,61.3368283093054,7,0,929,448,481,48.2238966630786
1,Zürich,64,Nürensdorf,3873,2508,64.7560030983734,16,0,2492,1232,1260,49.438202247191
1,Zürich,65,Oberembrach,811,548,67.5709001233046,3,1,544,328,216,60.2941176470588
1,Zürich,66,Opfikon,9296,4099,44.0942340791738,21,0,4078,1641,2437,40.2403138793526
1,Zürich,67,Rafz,2949,1873,63.5130552729739,13,0,1860,820,1040,44.0860215053764
1,Zürich,68,Rorbas,1627,819,50.3380454824831,6,0,813,347,466,42.6814268142681
1,Zürich,69,Wallisellen,9642,5333,55.3101016386642,35,0,5298,1891,3407,35.6927142317856
1,Zürich,70,Wasterkingen,421,280,66.5083135391924,1,0,279,138,141,49.4623655913979
1,Zürich,71,Wil (ZH),1027,696,67.7702044790653,6,0,690,340,350,49.2753623188406
1,Zürich,72,Winkel,3256,2116,64.987714987715,17,1,2098,956,1142,45.5672068636797
1,Zürich,81,Bachs,442,319,72.1719457013575,1,0,318,171,147,53.7735849056604
1,Zürich,82,Boppelsen,1027,679,66.1148977604674,6,0,673,286,387,42.4962852897474
1,Zürich,83,Buchs (ZH),3913,1995,50.9838998211091,10,2,1983,932,1051,46.9994957135653
1,Zürich,84,Dällikon,2400,1247,51.9583333333333,9,0,1238,647,591,52.2617124394184
1,Zürich,85,Dänikon,1097,630,57.42935278031,3,0,627,312,315,49.7607655502392
1,Zürich,86,Dielsdorf,3300,1818,55.0909090909091,11,0,1807,828,979,45.8218040951854
1,Zürich,87,Hüttikon,583,393,67.409948542024,2,0,391,199,192,50.8951406649617
