bfs_gmde_nummer_2004,bfs_gmde_name_2004,Stimmberechtigte,Abgegebene Stimmen,Gültige Stimmen,JA
1,Aeugst am Albis,1174,712,704,390
2,Affoltern am Albis,6081,3487,3429,1539
3,Bonstetten,2996,1845,1811,940
4,Hausen am Albis,2200,1319,1293,662
5,Hedingen,1997,1227,1223,611
6,Kappel am Albis,627,394,390,161
7,Knonau,1031,641,631,332
8,Maschwanden,416,246,246,107
9,Mettmenstetten,2730,1624,1614,799
10,Obfelden,2883,1604,1575,673
11,Ottenbach,1634,941,936,508
12,Rifferswil,572,403,398,223
13,Stallikon,1998,1133,1130,607
14,Wettswil am Albis,2986,1839,1822,918
21,Adlikon,453,295,295,104
22,Benken (ZH),512,327,326,112
23,Berg am Irchel,451,305,298,112
24,Buch am Irchel,564,404,402,140
25,Dachsen,1163,673,668,287
26,Dorf,429,273,260,79
27,Feuerthalen,2120,1139,1130,434
28,Flaach,816,522,517,140
29,Flurlingen,979,620,616,307
30,Andelfingen,1215,793,789,338
31,Henggart,1239,810,804,289
32,Humlikon,311,221,221,76
33,Kleinandelfingen,1335,840,817,323
34,Laufen-Uhwiesen,1108,686,677,264
35,Marthalen,1328,830,821,270
36,Oberstammheim,798,501,489,211
37,Ossingen,910,588,583,195
38,Rheinau,865,521,517,222
39,Thalheim an der Thur,508,324,318,90
40,Trüllikon,759,446,440,139
41,Truttikon,334,231,229,84
42,Unterstammheim,614,359,359,169
43,Volken,204,136,135,30
44,Waltalingen,477,331,328,119
51,Bachenbülach,2024,1022,1016,418
52,Bassersdorf,5913,3164,3110,1352
53,Bülach,9178,5303,5228,2054
54,Dietlikon,4312,2508,2492,1106
55,Eglisau,2251,1368,1343,567
56,Embrach,4982,2583,2553,994
57,Freienstein-Teufen,1555,942,934,387
58,Glattfelden,2381,1296,1288,441
59,Hochfelden,1152,722,715,211
60,Höri,1319,678,669,168
61,Hüntwangen,637,383,379,148
62,Kloten,10657,5574,5493,2135
63,Lufingen,984,605,598,215
64,Nürensdorf,3483,2172,2136,849
65,Oberembrach,738,443,440,156
66,Opfikon,6580,3446,3422,1293
67,Rafz,2322,1403,1388,502
68,Rorbas,1394,716,698,277
69,Wallisellen,7909,4471,4411,1900
70,Wasterkingen,426,273,271,97
71,Wil (ZH),948,587,584,188
72,Winkel,2625,1566,1547,588
81,Bachs,428,253,249,80
82,Boppelsen,841,532,529,198
83,Buchs (ZH),2927,1552,1521,524
84,Dällikon,2090,1139,1123,403
85,Dänikon,1057,640,640,216
86,Dielsdorf,2982,1563,1550,630
87,Hüttikon,380,220,217,47
88,Neerach,1985,1057,1056,378
89,Niederglatt,2569,1422,1386,418
90,Niederhasli,4761,2669,2632,919
91,Niederweningen,1575,921,910,375
92,Oberglatt,2861,1337,1306,448
93,Oberweningen,937,541,540,215
94,Otelfingen,1483,892,881,367
95,Regensberg,328,205,202,113
96,Regensdorf,8759,4715,4566,1718
97,Rümlang,3698,2003,1968,644
98,Schleinikon,486,318,317,112
99,Schöfflisdorf,814,509,496,192
100,Stadel,1325,693,690,207
101,Steinmaur,2068,1083,1060,415
102,Weiach,736,422,417,112
111,Bäretswil,3161,1767,1739,676
