Kantons-Nr.,Kanton,bfs_gmde_nummer_2009,bfs_gmde_name_2009,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung,Gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in %
1,ZH,1,Aeugst am Albis,1233,727,58.96188158961881,707,332,375,46.95898161244696
1,ZH,2,Affoltern am Albis,6556,3399,51.84563758389261,3328,1829,1499,54.957932692307686
1,ZH,3,Bonstetten,3519,2061,58.567774936061376,2033,1083,950,53.271028037383175
1,ZH,4,Hausen am Albis,2352,1393,59.226190476190474,1360,728,632,53.529411764705884
1,ZH,5,Hedingen,2322,1415,60.938845822566755,1382,702,680,50.7959479015919
1,ZH,6,Kappel am Albis,640,369,57.65625,360,228,132,63.33333333333333
1,ZH,7,Knonau,1200,660,55.0,640,350,290,54.6875
1,ZH,8,Maschwanden,439,258,58.76993166287016,255,140,115,54.90196078431373
1,ZH,9,Mettmenstetten,2931,1688,57.591265779597414,1665,922,743,55.37537537537538
1,ZH,10,Obfelden,3044,1649,54.17214191852825,1617,948,669,58.62708719851577
1,ZH,11,Ottenbach,1748,1044,59.7254004576659,1026,543,483,52.92397660818714
1,ZH,12,Rifferswil,640,395,61.71875,391,182,209,46.547314578005114
1,ZH,13,Stallikon,2146,1260,58.7138863000932,1244,684,560,54.983922829581985
1,ZH,14,Wettswil am Albis,3151,1893,60.07616629641384,1857,950,907,51.157781367797526
1,ZH,21,Adlikon,481,306,63.61746361746362,301,211,90,70.09966777408638
1,ZH,22,Benken (ZH),587,365,62.180579216354346,360,253,107,70.27777777777777
1,ZH,23,Berg am Irchel,467,328,70.2355460385439,328,213,115,64.9390243902439
1,ZH,24,Buch am Irchel,618,487,78.80258899676376,483,334,149,69.15113871635612
1,ZH,25,Dachsen,1289,765,59.34833204034135,754,450,304,59.6816976127321
1,ZH,26,Dorf,442,291,65.83710407239819,285,218,67,76.49122807017544
1,ZH,27,Feuerthalen,2227,1189,53.390211046250556,1168,767,401,65.66780821917808
1,ZH,28,Flaach,846,603,71.27659574468085,594,438,156,73.73737373737373
1,ZH,29,Flurlingen,974,591,60.677618069815196,579,298,281,51.46804835924007
1,ZH,30,Andelfingen,1283,819,63.83476227591582,795,433,362,54.465408805031444
1,ZH,31,Henggart,1525,931,61.049180327868854,919,584,335,63.54733405875952
1,ZH,32,Humlikon,343,222,64.72303206997084,219,143,76,65.29680365296804
1,ZH,33,Kleinandelfingen,1480,906,61.21621621621621,896,564,332,62.94642857142857
1,ZH,34,Laufen-Uhwiesen,1104,691,62.59057971014492,671,450,221,67.06408345752608
1,ZH,35,Marthalen,1415,876,61.908127208480565,865,619,246,71.5606936416185
1,ZH,36,Oberstammheim,822,504,61.31386861313869,493,284,209,57.606490872210955
1,ZH,37,Ossingen,1010,591,58.51485148514851,579,364,215,62.86701208981002
1,ZH,38,Rheinau,889,540,60.742407199100114,526,280,246,53.2319391634981
1,ZH,39,Thalheim an der Thur,569,327,57.46924428822495,315,226,89,71.74603174603175
1,ZH,40,Trüllikon,783,444,56.70498084291188,439,312,127,71.07061503416855
1,ZH,41,Truttikon,346,227,65.60693641618496,217,151,66,69.5852534562212
1,ZH,42,Unterstammheim,638,404,63.322884012539184,399,237,162,59.3984962406015
1,ZH,43,Volken,216,141,65.27777777777779,138,99,39,71.73913043478261
1,ZH,44,Waltalingen,500,316,63.2,307,201,106,65.47231270358306
1,ZH,51,Bachenbülach,2345,1181,50.362473347547976,1144,739,405,64.5979020979021
1,ZH,52,Bassersdorf,6782,3493,51.503981126511356,3418,1972,1446,57.69455822118198
1,ZH,53,Bülach,10701,5763,53.85477992710962,5646,3438,2208,60.89266737513284
1,ZH,54,Dietlikon,4547,2549,56.058939960413454,2518,1369,1149,54.368546465448766
1,ZH,55,Eglisau,2608,1645,63.075153374233125,1610,928,682,57.639751552795026
