Kantons-Nr.,Kanton,bfs_gmde_nummer_2014,bfs_gmde_name_2014,Stimm-berechtigte,Abgegebene Stimmen,Stimm-beteiligung,Leere,Ungültige,Gültige,Ja-Stimmen,Nein-Stimmen,Ja in %
1,ZH,1,Aeugst am Albis,1362,795,58.370044,5,0,790,182,608,23.037975
1,ZH,2,Affoltern am Albis,6950,3436,49.438849,15,1,3420,878,2542,25.672515
1,ZH,3,Bonstetten,3522,2171,61.641113,20,0,2151,504,1647,23.430962
1,ZH,4,Hausen am Albis,2387,1304,54.629242,9,0,1295,321,974,24.787645
1,ZH,5,Hedingen,2463,1499,60.860739,10,0,1489,319,1170,21.423774
1,ZH,6,Kappel am Albis,683,354,51.830161,2,0,352,106,246,30.113636
1,ZH,7,Knonau,1337,773,57.816006,9,4,760,200,560,26.315789
1,ZH,8,Maschwanden,453,259,57.174393,2,0,257,68,189,26.459144
1,ZH,9,Mettmenstetten,3069,1801,58.68361,7,0,1794,423,1371,23.578595
1,ZH,10,Obfelden,3108,1637,52.670528,8,0,1629,425,1204,26.089626
1,ZH,11,Ottenbach,1837,1107,60.261296,0,0,1107,262,845,23.66757
1,ZH,12,Rifferswil,701,424,60.485021,5,0,419,93,326,22.195704
1,ZH,13,Stallikon,2192,1338,61.040146,9,0,1329,346,983,26.034612
1,ZH,14,Wettswil am Albis,3213,2048,63.741052,15,0,2033,432,1601,21.249385
1,ZH,21,Adlikon,444,260,58.558559,4,1,255,105,150,41.176471
1,ZH,22,Benken (ZH),601,332,55.241265,0,0,332,95,237,28.614458
1,ZH,23,Berg am Irchel,453,273,60.264901,4,0,269,94,175,34.944238
1,ZH,24,Buch am Irchel,652,377,57.822086,2,0,375,117,258,31.2
1,ZH,25,Dachsen,1323,696,52.60771,9,1,686,168,518,24.489796
1,ZH,26,Dorf,470,257,54.680851,2,0,255,72,183,28.235294
1,ZH,27,Feuerthalen,2185,1108,50.709382,12,0,1096,317,779,28.923358
1,ZH,28,Flaach,948,509,53.691983,7,0,502,154,348,30.677291
1,ZH,29,Flurlingen,973,583,59.91778,7,0,576,134,442,23.263889
1,ZH,30,Andelfingen,1452,925,63.705234,7,0,918,239,679,26.034858
1,ZH,31,Henggart,1580,901,57.025316,8,0,893,267,626,29.899216
1,ZH,32,Humlikon,364,207,56.868132,4,0,203,60,143,29.55665
1,ZH,33,Kleinandelfingen,1432,762,53.212291,11,0,751,220,531,29.294274
1,ZH,34,Laufen-Uhwiesen,1148,618,53.832753,6,0,612,190,422,31.045752
1,ZH,35,Marthalen,1446,766,52.973721,8,0,758,240,518,31.662269
1,ZH,36,Oberstammheim,856,478,55.841121,10,0,468,119,349,25.42735
1,ZH,37,Ossingen,980,520,53.061224,2,1,517,169,348,32.688588
1,ZH,38,Rheinau,862,494,57.308585,2,1,491,119,372,24.236253
1,ZH,39,Thalheim an der Thur,634,325,51.26183,1,0,324,144,180,44.444444
1,ZH,40,Trüllikon,763,404,52.948886,4,0,400,135,265,33.75
1,ZH,41,Truttikon,332,204,61.445783,1,0,203,52,151,25.615764
1,ZH,42,Unterstammheim,623,375,60.192616,0,1,374,109,265,29.144385
1,ZH,43,Volken,228,141,61.842105,4,0,137,45,92,32.846715
1,ZH,44,Waltalingen,501,281,56.087824,4,0,277,94,183,33.935018
1,ZH,51,Bachenbülach,2460,1159,47.113821,11,0,1148,312,836,27.1777
1,ZH,52,Bassersdorf,6969,3534,50.710288,28,0,3506,981,2525,27.980605
1,ZH,53,Bülach,11503,5411,47.039903,42,1,5368,1511,3857,28.148286
1,ZH,54,Dietlikon,4684,2447,52.241674,16,0,2431,625,1806,25.709585
1,ZH,55,Eglisau,3044,1758,57.752957,16,0,1742,479,1263,27.49713
1,ZH,56,Embrach,5406,2418,44.72808,18,0,2400,783,1617,32.625
1,ZH,57,Freienstein-Teufen,1614,917,56.815366,7,0,910,239,671,26.263736
1,ZH,58,Glattfelden,2949,1357,46.015599,7,0,1350,460,890,34.074074
1,ZH,59,Hochfelden,1335,721,54.007491,8,0,713,252,461,35.343619
1,ZH,60,Höri,1481,628,42.403781,1,1,626,237,389,37.859425
1,ZH,61,Hüntwangen,713,402,56.381487,3,0,399,129,270,32.330827
1,ZH,62,Kloten,10505,4437,42.23703,28,3,4406,1431,2975,32.478438
1,ZH,63,Lufingen,1192,612,51.342282,4,0,608,196,412,32.236842
1,ZH,64,Nürensdorf,3766,2134,56.664896,22,0,2112,653,1459,30.918561
1,ZH,65,Oberembrach,804,406,50.497512,2,0,404,149,255,36.881188
1,ZH,66,Opfikon,7814,3178,40.670591,20,0,3158,1061,2097,33.597213
1,ZH,67,Rafz,2711,1442,53.190705,9,0,1433,431,1002,30.076762
1,ZH,68,Rorbas,1534,658,42.894394,5,0,653,200,453,30.627871
1,ZH,69,Wallisellen,8815,4382,49.71072,20,1,4361,1057,3304,24.23756
1,ZH,70,Wasterkingen,411,220,53.527981,5,0,215,73,142,33.953488
1,ZH,71,Wil (ZH),981,552,56.269113,9,0,543,169,374,31.123389
1,ZH,72,Winkel,2964,1665,56.174089,13,0,1652,473,1179,28.631961
1,ZH,81,Bachs,443,235,53.047404,2,0,233,80,153,34.334764
1,ZH,82,Boppelsen,883,509,57.644394,5,0,504,121,383,24.007937
1,ZH,83,Buchs (ZH),3752,1787,47.627932,12,0,1775,528,1247,29.746479
1,ZH,84,Dällikon,2281,1051,46.076282,10,0,1041,349,692,33.525456
1,ZH,85,Dänikon,1137,582,51.187335,2,0,580,199,381,34.310345
1,ZH,86,Dielsdorf,3468,1605,46.280277,9,0,1596,504,1092,31.578947
