"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Staatsangehörigkeit (Kategorie)","Geschlecht","Geburtsort - Total","Gleiche Gemeinde, gleicher Kanton","Andere Gemeinde, gleicher Kanton","Andere Gemeinde, anderer Kanton","Im Ausland","In der Schweiz, ohne weitere Angabe","Ohne Angabe"
"1970","Schweiz","Staatsangehörigkeit - Total","Geschlecht - Total",6269783,2389578,1361375,1407718,1111112,0,0
"1970","Schweiz","Schweizer","Geschlecht - Total",5189707,2236762,1315796,1378953,258196,0,0
"1970","Schweiz","Ausländer","Geschlecht - Total",1080076,152816,45579,28765,852916,0,0
"1970","- Kanton Zürich","Staatsangehörigkeit - Total","Geschlecht - Total",1107788,369375,211064,301772,225577,0,0
"1970","- Kanton Zürich","Schweizer","Geschlecht - Total",897684,338921,201488,297270,60005,0,0
"1970","- Kanton Zürich","Ausländer","Geschlecht - Total",210104,30454,9576,4502,165572,0,0
"1970",">> Bezirk Affoltern","Staatsangehörigkeit - Total","Geschlecht - Total",24131,7435,6505,6087,4104,0,0
"1970",">> Bezirk Affoltern","Schweizer","Geschlecht - Total",19913,6857,6143,5969,944,0,0
"1970",">> Bezirk Affoltern","Ausländer","Geschlecht - Total",4218,578,362,118,3160,0,0
"1970","......0001 Aeugst am Albis","Staatsangehörigkeit - Total","Geschlecht - Total",700,261,208,181,50,0,0
"1970","......0001 Aeugst am Albis","Schweizer","Geschlecht - Total",662,254,199,180,29,0,0
"1970","......0001 Aeugst am Albis","Ausländer","Geschlecht - Total",38,7,9,1,21,0,0
"1970","......0002 Affoltern am Albis","Staatsangehörigkeit - Total","Geschlecht - Total",7363,2101,1703,1919,1640,0,0
"1970","......0002 Affoltern am Albis","Schweizer","Geschlecht - Total",5591,1801,1599,1869,322,0,0
"1970","......0002 Affoltern am Albis","Ausländer","Geschlecht - Total",1772,300,104,50,1318,0,0
"1970","......0003 Bonstetten","Staatsangehörigkeit - Total","Geschlecht - Total",1706,422,618,396,270,0,0
"1970","......0003 Bonstetten","Schweizer","Geschlecht - Total",1457,401,573,391,92,0,0
"1970","......0003 Bonstetten","Ausländer","Geschlecht - Total",249,21,45,5,178,0,0
"1970","......0004 Hausen am Albis","Staatsangehörigkeit - Total","Geschlecht - Total",1844,635,450,501,258,0,0
"1970","......0004 Hausen am Albis","Schweizer","Geschlecht - Total",1618,610,435,497,76,0,0
"1970","......0004 Hausen am Albis","Ausländer","Geschlecht - Total",226,25,15,4,182,0,0
"1970","......0005 Hedingen","Staatsangehörigkeit - Total","Geschlecht - Total",1880,521,566,413,380,0,0
"1970","......0005 Hedingen","Schweizer","Geschlecht - Total",1484,477,532,400,75,0,0
"1970","......0005 Hedingen","Ausländer","Geschlecht - Total",396,44,34,13,305,0,0
"1970","......0006 Kappel am Albis","Staatsangehörigkeit - Total","Geschlecht - Total",636,263,166,179,28,0,0
"1970","......0006 Kappel am Albis","Schweizer","Geschlecht - Total",613,261,163,179,10,0,0
"1970","......0006 Kappel am Albis","Ausländer","Geschlecht - Total",23,2,3,0,18,0,0
"1970","......0007 Knonau","Staatsangehörigkeit - Total","Geschlecht - Total",932,307,211,276,138,0,0
"1970","......0007 Knonau","Schweizer","Geschlecht - Total",785,301,196,270,18,0,0
"1970","......0007 Knonau","Ausländer","Geschlecht - Total",147,6,15,6,120,0,0
"1970","......0008 Maschwanden","Staatsangehörigkeit - Total","Geschlecht - Total",400,230,79,82,9,0,0
"1970","......0008 Maschwanden","Schweizer","Geschlecht - Total",397,230,77,82,8,0,0
"1970","......0008 Maschwanden","Ausländer","Geschlecht - Total",3,0,2,0,1,0,0
"1970","......0009 Mettmenstetten","Staatsangehörigkeit - Total","Geschlecht - Total",1866,707,460,477,222,0,0
"1970","......0009 Mettmenstetten","Schweizer","Geschlecht - Total",1635,673,429,474,59,0,0
"1970","......0009 Mettmenstetten","Ausländer","Geschlecht - Total",231,34,31,3,163,0,0
"1970","......0010 Obfelden","Staatsangehörigkeit - Total","Geschlecht - Total",2255,795,538,518,404,0,0
"1970","......0010 Obfelden","Schweizer","Geschlecht - Total",1790,720,505,498,67,0,0
"1970","......0010 Obfelden","Ausländer","Geschlecht - Total",465,75,33,20,337,0,0
"1970","......0011 Ottenbach","Staatsangehörigkeit - Total","Geschlecht - Total",1285,426,346,326,187,0,0
"1970","......0011 Ottenbach","Schweizer","Geschlecht - Total",1080,407,310,320,43,0,0
"1970","......0011 Ottenbach","Ausländer","Geschlecht - Total",205,19,36,6,144,0,0
"1970","......0012 Rifferswil","Staatsangehörigkeit - Total","Geschlecht - Total",499,189,156,114,40,0,0
"1970","......0012 Rifferswil","Schweizer","Geschlecht - Total",471,187,154,114,16,0,0
"1970","......0012 Rifferswil","Ausländer","Geschlecht - Total",28,2,2,0,24,0,0
"1970","......0013 Stallikon","Staatsangehörigkeit - Total","Geschlecht - Total",1062,285,339,267,171,0,0
"1970","......0013 Stallikon","Schweizer","Geschlecht - Total",911,275,332,265,39,0,0
"1970","......0013 Stallikon","Ausländer","Geschlecht - Total",151,10,7,2,132,0,0
"1970","......0014 Wettswil am Albis","Staatsangehörigkeit - Total","Geschlecht - Total",1703,293,665,438,307,0,0
"1970","......0014 Wettswil am Albis","Schweizer","Geschlecht - Total",1419,260,639,430,90,0,0
"1970","......0014 Wettswil am Albis","Ausländer","Geschlecht - Total",284,33,26,8,217,0,0
"1970",">> Bezirk Andelfingen","Staatsangehörigkeit - Total","Geschlecht - Total",20112,8170,4895,4703,2344,0,0
"1970",">> Bezirk Andelfingen","Schweizer","Geschlecht - Total",18173,7943,4787,4617,826,0,0
"1970",">> Bezirk Andelfingen","Ausländer","Geschlecht - Total",1939,227,108,86,1518,0,0
"1970","......0021 Adlikon","Staatsangehörigkeit - Total","Geschlecht - Total",380,195,100,69,16,0,0
"1970","......0021 Adlikon","Schweizer","Geschlecht - Total",373,195,99,68,11,0,0
"1970","......0021 Adlikon","Ausländer","Geschlecht - Total",7,0,1,1,5,0,0
"1970","......0022 Benken (ZH)","Staatsangehörigkeit - Total","Geschlecht - Total",491,265,114,83,29,0,0
"1970","......0022 Benken (ZH)","Schweizer","Geschlecht - Total",470,261,113,82,14,0,0
"1970","......0022 Benken (ZH)","Ausländer","Geschlecht - Total",21,4,1,1,15,0,0
"1970","......0023 Berg am Irchel","Staatsangehörigkeit - Total","Geschlecht - Total",386,228,82,43,33,0,0
"1970","......0023 Berg am Irchel","Schweizer","Geschlecht - Total",363,227,82,43,11,0,0
"1970","......0023 Berg am Irchel","Ausländer","Geschlecht - Total",23,1,0,0,22,0,0
"1970","......0024 Buch am Irchel","Staatsangehörigkeit - Total","Geschlecht - Total",426,281,90,48,7,0,0
"1970","......0024 Buch am Irchel","Schweizer","Geschlecht - Total",426,281,90,48,7,0,0
"1970","......0024 Buch am Irchel","Ausländer","Geschlecht - Total",0,0,0,0,0,0,0
"1970","......0025 Dachsen","Staatsangehörigkeit - Total","Geschlecht - Total",793,276,185,266,66,0,0
"1970","......0025 Dachsen","Schweizer","Geschlecht - Total",743,271,177,262,33,0,0
"1970","......0025 Dachsen","Ausländer","Geschlecht - Total",50,5,8,4,33,0,0
"1970","......0026 Dorf","Staatsangehörigkeit - Total","Geschlecht - Total",280,161,63,45,11,0,0
"1970","......0026 Dorf","Schweizer","Geschlecht - Total",264,159,59,42,4,0,0
"1970","......0026 Dorf","Ausländer","Geschlecht - Total",16,2,4,3,7,0,0
"1970","......0027 Feuerthalen","Staatsangehörigkeit - Total","Geschlecht - Total",3118,810,451,1223,634,0,0
"1970","......0027 Feuerthalen","Schweizer","Geschlecht - Total",2527,729,435,1180,183,0,0
"1970","......0027 Feuerthalen","Ausländer","Geschlecht - Total",591,81,16,43,451,0,0
"1970","......0028 Flaach","Staatsangehörigkeit - Total","Geschlecht - Total",853,457,225,116,55,0,0
"1970","......0028 Flaach","Schweizer","Geschlecht - Total",806,455,215,116,20,0,0
"1970","......0028 Flaach","Ausländer","Geschlecht - Total",47,2,10,0,35,0,0
"1970","......0029 Flurlingen","Staatsangehörigkeit - Total","Geschlecht - Total",935,288,146,260,241,0,0
"1970","......0029 Flurlingen","Schweizer","Geschlecht - Total",712,261,145,255,51,0,0
"1970","......0029 Flurlingen","Ausländer","Geschlecht - Total",223,27,1,5,190,0,0
"1970","......0030 Andelfingen","Staatsangehörigkeit - Total","Geschlecht - Total",1453,418,524,278,233,0,0
"1970","......0030 Andelfingen","Schweizer","Geschlecht - Total",1265,402,512,278,73,0,0
"1970","......0030 Andelfingen","Ausländer","Geschlecht - Total",188,16,12,0,160,0,0
"1970","......0031 Henggart","Staatsangehörigkeit - Total","Geschlecht - Total",715,260,258,134,63,0,0
"1970","......0031 Henggart","Schweizer","Geschlecht - Total",672,259,253,131,29,0,0
"1970","......0031 Henggart","Ausländer","Geschlecht - Total",43,1,5,3,34,0,0
"1970","......0032 Humlikon","Staatsangehörigkeit - Total","Geschlecht - Total",234,113,70,44,7,0,0
"1970","......0032 Humlikon","Schweizer","Geschlecht - Total",228,112,70,44,2,0,0
"1970","......0032 Humlikon","Ausländer","Geschlecht - Total",6,1,0,0,5,0,0
"1970","......0033 Kleinandelfingen","Staatsangehörigkeit - Total","Geschlecht - Total",1202,505,326,203,168,0,0
"1970","......0033 Kleinandelfingen","Schweizer","Geschlecht - Total",1038,487,317,201,33,0,0
"1970","......0033 Kleinandelfingen","Ausländer","Geschlecht - Total",164,18,9,2,135,0,0
"1970","......0034 Laufen-Uhwiesen","Staatsangehörigkeit - Total","Geschlecht - Total",1048,382,192,354,120,0,0
"1970","......0034 Laufen-Uhwiesen","Schweizer","Geschlecht - Total",962,373,187,342,60,0,0
"1970","......0034 Laufen-Uhwiesen","Ausländer","Geschlecht - Total",86,9,5,12,60,0,0
"1970","......0035 Marthalen","Staatsangehörigkeit - Total","Geschlecht - Total",1249,700,252,202,95,0,0
"1970","......0035 Marthalen","Schweizer","Geschlecht - Total",1193,695,247,199,52,0,0
"1970","......0035 Marthalen","Ausländer","Geschlecht - Total",56,5,5,3,43,0,0
"1970","......0036 Oberstammheim","Staatsangehörigkeit - Total","Geschlecht - Total",765,400,142,154,69,0,0
"1970","......0036 Oberstammheim","Schweizer","Geschlecht - Total",704,392,139,152,21,0,0
"1970","......0036 Oberstammheim","Ausländer","Geschlecht - Total",61,8,3,2,48,0,0
"1970","......0037 Ossingen","Staatsangehörigkeit - Total","Geschlecht - Total",898,414,263,172,49,0,0
"1970","......0037 Ossingen","Schweizer","Geschlecht - Total",864,410,258,169,27,0,0
"1970","......0037 Ossingen","Ausländer","Geschlecht - Total",34,4,5,3,22,0,0
"1970","......0038 Rheinau","Staatsangehörigkeit - Total","Geschlecht - Total",2075,494,810,526,245,0,0
"1970","......0038 Rheinau","Schweizer","Geschlecht - Total",1900,473,793,522,112,0,0
"1970","......0038 Rheinau","Ausländer","Geschlecht - Total",175,21,17,4,133,0,0
"1970","......0039 Thalheim an der Thur","Staatsangehörigkeit - Total","Geschlecht - Total",462,242,123,78,19,0,0
"1970","......0039 Thalheim an der Thur","Schweizer","Geschlecht - Total",450,242,123,78,7,0,0
"1970","......0039 Thalheim an der Thur","Ausländer","Geschlecht - Total",12,0,0,0,12,0,0
"1970","......0040 Trüllikon","Staatsangehörigkeit - Total","Geschlecht - Total",724,388,145,133,58,0,0
"1970","......0040 Trüllikon","Schweizer","Geschlecht - Total",691,386,143,133,29,0,0
"1970","......0040 Trüllikon","Ausländer","Geschlecht - Total",33,2,2,0,29,0,0
"1970","......0041 Truttikon","Staatsangehörigkeit - Total","Geschlecht - Total",275,142,77,43,13,0,0
"1970","......0041 Truttikon","Schweizer","Geschlecht - Total",270,142,77,43,8,0,0
"1970","......0041 Truttikon","Ausländer","Geschlecht - Total",5,0,0,0,5,0,0
"1970","......0042 Unterstammheim","Staatsangehörigkeit - Total","Geschlecht - Total",693,317,156,149,71,0,0
"1970","......0042 Unterstammheim","Schweizer","Geschlecht - Total",627,306,152,149,20,0,0
"1970","......0042 Unterstammheim","Ausländer","Geschlecht - Total",66,11,4,0,51,0,0
"1970","......0043 Volken","Staatsangehörigkeit - Total","Geschlecht - Total",210,145,39,17,9,0,0
"1970","......0043 Volken","Schweizer","Geschlecht - Total",206,144,39,17,6,0,0
"1970","......0043 Volken","Ausländer","Geschlecht - Total",4,1,0,0,3,0,0
"1970","......0044 Waltalingen","Staatsangehörigkeit - Total","Geschlecht - Total",447,289,62,63,33,0,0
"1970","......0044 Waltalingen","Schweizer","Geschlecht - Total",419,281,62,63,13,0,0
"1970","......0044 Waltalingen","Ausländer","Geschlecht - Total",28,8,0,0,20,0,0
"1970",">> Bezirk Bülach","Staatsangehörigkeit - Total","Geschlecht - Total",84046,21965,22783,21575,17723,0,0
"1970",">> Bezirk Bülach","Schweizer","Geschlecht - Total",66249,19550,21431,21195,4073,0,0
"1970",">> Bezirk Bülach","Ausländer","Geschlecht - Total",17797,2415,1352,380,13650,0,0
"1970","......0051 Bachenbülach","Staatsangehörigkeit - Total","Geschlecht - Total",2307,456,647,610,594,0,0
"1970","......0051 Bachenbülach","Schweizer","Geschlecht - Total",1639,400,570,573,96,0,0
"1970","......0051 Bachenbülach","Ausländer","Geschlecht - Total",668,56,77,37,498,0,0
"1970","......0052 Bassersdorf","Staatsangehörigkeit - Total","Geschlecht - Total",5590,1336,1607,1486,1161,0,0
"1970","......0052 Bassersdorf","Schweizer","Geschlecht - Total",4436,1192,1513,1468,263,0,0
"1970","......0052 Bassersdorf","Ausländer","Geschlecht - Total",1154,144,94,18,898,0,0
"1970","......0053 Bülach","Staatsangehörigkeit - Total","Geschlecht - Total",11043,3452,2787,2335,2469,0,0
"1970","......0053 Bülach","Schweizer","Geschlecht - Total",8392,2949,2660,2299,484,0,0
"1970","......0053 Bülach","Ausländer","Geschlecht - Total",2651,503,127,36,1985,0,0
"1970","......0054 Dietlikon","Staatsangehörigkeit - Total","Geschlecht - Total",4381,737,1424,1139,1081,0,0
"1970","......0054 Dietlikon","Schweizer","Geschlecht - Total",3269,637,1297,1119,216,0,0
"1970","......0054 Dietlikon","Ausländer","Geschlecht - Total",1112,100,127,20,865,0,0
"1970","......0055 Eglisau","Staatsangehörigkeit - Total","Geschlecht - Total",2160,872,556,440,292,0,0
"1970","......0055 Eglisau","Schweizer","Geschlecht - Total",1894,842,541,433,78,0,0
"1970","......0055 Eglisau","Ausländer","Geschlecht - Total",266,30,15,7,214,0,0
"1970","......0056 Embrach","Staatsangehörigkeit - Total","Geschlecht - Total",4123,1280,1094,997,752,0,0
"1970","......0056 Embrach","Schweizer","Geschlecht - Total",3350,1189,1022,962,177,0,0
"1970","......0056 Embrach","Ausländer","Geschlecht - Total",773,91,72,35,575,0,0
"1970","......0057 Freienstein-Teufen","Staatsangehörigkeit - Total","Geschlecht - Total",1219,466,359,194,200,0,0
"1970","......0057 Freienstein-Teufen","Schweizer","Geschlecht - Total",980,430,332,189,29,0,0
"1970","......0057 Freienstein-Teufen","Ausländer","Geschlecht - Total",239,36,27,5,171,0,0
"1970","......0058 Glattfelden","Staatsangehörigkeit - Total","Geschlecht - Total",2857,1111,579,492,675,0,0
"1970","......0058 Glattfelden","Schweizer","Geschlecht - Total",2079,941,548,480,110,0,0
"1970","......0058 Glattfelden","Ausländer","Geschlecht - Total",778,170,31,12,565,0,0
"1970","......0059 Hochfelden","Staatsangehörigkeit - Total","Geschlecht - Total",677,197,185,122,173,0,0
"1970","......0059 Hochfelden","Schweizer","Geschlecht - Total",507,186,174,121,26,0,0
"1970","......0059 Hochfelden","Ausländer","Geschlecht - Total",170,11,11,1,147,0,0
"1970","......0060 Höri","Staatsangehörigkeit - Total","Geschlecht - Total",2103,454,708,456,485,0,0
"1970","......0060 Höri","Schweizer","Geschlecht - Total",1546,399,630,434,83,0,0
