gmde_code_2022,gmde_name_2022,men,women,swiss,foreign,swiss_men,swiss_women,foreign_men,foreign_women
0001,Aeugst am Albis,987,994,1728,253,852,876,135,118
0002,Affoltern am Albis,5818,5890,8541,3167,4132,4409,1686,1481
0003,Bonstetten,2614,2712,4579,747,2225,2354,389,358
0004,Hausen am Albis,1687,1790,3004,473,1439,1565,248,225
0005,Hedingen,1844,1816,3116,544,1551,1565,293,251
0006,Kappel am Albis,512,521,885,148,437,448,75,73
0007,Knonau,1063,1034,1755,342,884,871,179,163
0008,Maschwanden,333,308,562,79,289,273,44,35
0009,Mettmenstetten,2356,2313,4006,663,1987,2019,369,294
0010,Obfelden,2501,2508,4026,983,1985,2041,516,467
0011,Ottenbach,1268,1301,2285,284,1129,1156,139,145
0012,Rifferswil,498,559,966,91,454,512,44,47
0013,Stallikon,1746,1709,2789,666,1406,1383,340,326
0014,Wettswil am Albis,2416,2504,4195,725,2061,2134,355,370
0021,Adlikon,322,340,602,60,294,308,28,32
0022,Benken (ZH),437,423,753,107,378,375,59,48
0023,Berg am Irchel,291,282,516,57,260,256,31,26
0024,Buch am Irchel,472,494,888,78,431,457,41,37
0025,Dachsen,1004,984,1696,292,832,864,172,120
0026,Dorf,312,312,581,43,290,291,22,21
0027,Feuerthalen,1779,1788,2719,848,1334,1385,445,403
0028,Flaach,690,669,1155,204,565,590,125,79
0029,Flurlingen,729,709,1216,222,612,604,117,105
0030,Andelfingen,1065,1105,1893,277,913,980,152,125
0031,Henggart,1073,1176,2043,206,963,1080,110,96
0032,Humlikon,250,254,471,33,234,237,16,17
0033,Kleinandelfingen,1036,1046,1802,280,882,920,154,126
0034,Laufen-Uhwiesen,817,817,1441,193,717,724,100,93
0035,Marthalen,972,984,1743,213,856,887,116,97
0037,Ossingen,726,700,1296,130,661,635,65,65
0038,Rheinau,654,667,1051,270,507,544,147,123
0039,Thalheim an der Thur,467,437,833,71,429,404,38,33
0040,Trüllikon,533,482,928,87,481,447,52,35
0041,Truttikon,227,246,446,27,212,234,15,12
0043,Volken,175,164,305,34,158,147,17,17
0292,Stammheim,1386,1392,2522,256,1252,1270,134,122
0051,Bachenbülach,2010,2024,3058,976,1502,1556,508,468
0052,Bassersdorf,5815,5765,8804,2776,4313,4491,1502,1274
0053,Bülach,9574,9819,14347,5046,6922,7425,2652,2394
0054,Dietlikon,3754,3871,5787,1838,2796,2991,958,880
0055,Eglisau,2544,2481,3866,1159,1934,1932,610,549
0056,Embrach,4635,4504,6734,2405,3328,3406,1307,1098
0057,Freienstein-Teufen,1174,1131,1979,326,983,996,191,135
0058,Glattfelden,2488,2467,3769,1186,1817,1952,671,515
0059,Hochfelden,983,1011,1706,288,827,879,156,132
0060,Höri,1371,1274,1788,857,899,889,472,385
0061,Hüntwangen,525,489,906,108,471,435,54,54
0062,Kloten,9366,9086,12572,5880,6192,6380,3174,2706
0063,Lufingen,1074,998,1689,383,872,817,202,181
0064,Nürensdorf,2742,2726,4607,861,2287,2320,455,406
0065,Oberembrach,545,534,948,131,473,475,72,59
0066,Opfikon,9699,8918,10241,8376,5165,5076,4534,3842
0067,Rafz,2182,2162,3467,877,1733,1734,449,428
0068,Rorbas,1379,1364,2021,722,996,1025,383,339
0069,Wallisellen,7854,7808,10838,4824,5282,5556,2572,2252
0070,Wasterkingen,284,289,512,61,253,259,31,30
0071,Wil (ZH),703,678,1229,152,621,608,82,70
