bfs_gmde_nummer_2024,bfs_gmde_name_2024,Stimmberechtigte,eingelegte Stimmzettel,Stimmbeteiligung,leere Stimmzettel,ungültige Stimmzettel,gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in Prozent
1,Aeugst am Albis,1395,782,56.0573476702509,3,0,779,444,335,56.9961489088575
2,Affoltern am Albis,7288,3157,43.3177826564215,13,0,3144,1884,1260,59.9236641221374
3,Bonstetten,3658,1915,52.351011481684,12,0,1903,1197,706,62.900683131897
4,Hausen am Albis,2634,1325,50.3037205770691,6,0,1319,764,555,57.9226686884003
5,Hedingen,2540,1393,54.8425196850394,4,0,1389,809,580,58.2433405327574
6,Kappel am Albis,837,430,51.3739545997611,2,0,428,204,224,47.6635514018692
7,Knonau,1482,714,48.1781376518219,3,0,711,424,287,59.634317862166
8,Maschwanden,437,224,51.258581235698,0,0,224,109,115,48.6607142857143
9,Mettmenstetten,3729,1905,51.0860820595334,12,1,1892,1051,841,55.5496828752643
10,Obfelden,3580,1499,41.8715083798883,4,0,1495,805,690,53.8461538461539
11,Ottenbach,1998,991,49.5995995995996,3,0,988,519,469,52.5303643724697
12,Rifferswil,779,474,60.8472400513479,1,0,473,307,166,64.9048625792812
13,Stallikon,2443,1223,50.0613999181335,6,0,1217,712,505,58.5045193097782
14,Wettswil am Albis,3491,1749,50.1002578057863,9,0,1740,1039,701,59.7126436781609
22,Benken (ZH),597,297,49.748743718593,3,0,294,113,181,38.4353741496599
23,Berg am Irchel,447,259,57.9418344519016,0,0,259,105,154,40.5405405405405
24,Buch am Irchel,738,357,48.3739837398374,1,0,356,161,195,45.2247191011236
25,Dachsen,1366,609,44.5827232796486,3,0,606,362,244,59.7359735973598
26,Dorf,526,270,51.3307984790875,0,0,270,121,149,44.8148148148148
27,Feuerthalen,2337,1027,43.9452289259735,11,0,1016,569,447,56.003937007874
28,Flaach,984,479,48.6788617886179,2,0,477,206,271,43.1865828092243
29,Flurlingen,1032,576,55.8139534883721,12,1,563,344,219,61.101243339254
31,Henggart,1660,829,49.9397590361446,3,0,826,435,391,52.6634382566586
33,Kleinandelfingen,1499,808,53.9026017344897,7,2,799,370,429,46.3078848560701
34,Laufen-Uhwiesen,1293,620,47.9505027068832,4,1,615,306,309,49.7560975609756
35,Marthalen,1406,765,54.4096728307255,4,0,761,330,431,43.3639947437582
37,Ossingen,1243,574,46.1786001609011,1,0,573,293,280,51.1343804537522
38,Rheinau,859,421,49.0104772991851,7,0,414,236,178,57.0048309178744
39,Thalheim an der Thur,704,345,49.0056818181818,0,0,345,134,211,38.8405797101449
40,Trüllikon,803,397,49.439601494396,0,3,394,165,229,41.8781725888325
41,Truttikon,356,205,57.5842696629214,2,0,203,80,123,39.4088669950739
43,Volken,267,125,46.8164794007491,0,0,125,54,71,43.2
51,Bachenbülach,2526,1004,39.7466349960412,7,0,997,539,458,54.062186559679
52,Bassersdorf,7210,2837,39.3481276005548,19,0,2818,1515,1303,53.7615330021292
53,Bülach,13506,5291,39.1751814008589,31,8,5252,3044,2208,57.958872810358
54,Dietlikon,4768,2052,43.0369127516779,15,0,2037,1200,837,58.9101620029455
55,Eglisau,3373,1552,46.0124518233027,9,0,1543,910,633,58.9760207388205
56,Embrach,5763,2109,36.5955231650182,10,0,2099,1024,1075,48.7851357789424
57,Freienstein-Teufen,1670,814,48.7425149700599,3,0,811,409,402,50.4315659679408
58,Glattfelden,3174,1231,38.7838689350977,6,0,1225,522,703,42.6122448979592
59,Hochfelden,1334,603,45.2023988005997,2,4,597,262,335,43.8860971524288
60,Höri,1670,539,32.2754491017964,3,0,536,186,350,34.7014925373134
61,Hüntwangen,772,375,48.5751295336788,3,0,372,179,193,48.1182795698925
62,Kloten,11235,3717,33.0841121495327,21,0,3696,2008,1688,54.3290043290043
63,Lufingen,1708,704,41.2177985948478,4,0,700,303,397,43.2857142857143
64,Nürensdorf,3944,1859,47.1348884381339,5,0,1854,855,999,46.1165048543689
65,Oberembrach,803,424,52.8019925280199,1,0,423,154,269,36.4066193853428
66,Opfikon,9249,2742,29.6464482646773,22,1,2719,1502,1217,55.2408973887459
67,Rafz,2952,1408,47.6964769647697,7,0,1401,735,666,52.4625267665953
68,Rorbas,1685,597,35.4302670623145,4,0,593,286,307,48.2293423271501
69,Wallisellen,9649,3936,40.7917918955332,26,0,3910,2239,1671,57.2634271099744
70,Wasterkingen,425,209,49.1764705882353,0,4,205,92,113,44.8780487804878
71,Wil (ZH),1078,488,45.2690166975881,2,0,486,235,251,48.3539094650206
72,Winkel,3365,1600,47.5482912332838,7,7,1586,756,830,47.6670870113493
81,Bachs,463,236,50.9719222462203,2,0,234,109,125,46.5811965811966
82,Boppelsen,1016,533,52.4606299212599,5,0,528,234,294,44.3181818181818
83,Buchs (ZH),3914,1429,36.5099642309658,7,1,1421,639,782,44.9683321604504
84,Dällikon,2397,923,38.5064664163538,0,0,923,401,522,43.4452871072589
85,Dänikon,1102,557,50.5444646098004,5,0,552,274,278,49.6376811594203
86,Dielsdorf,3362,1379,41.017251635931,9,0,1370,671,699,48.978102189781
87,Hüttikon,594,343,57.7441077441078,4,0,339,163,176,48.0825958702065
88,Neerach,2387,1206,50.5236698785086,4,0,1202,505,697,42.0133111480865
89,Niederglatt,3116,1214,38.9602053915276,8,0,1206,531,675,44.0298507462687
90,Niederhasli,5540,2119,38.2490974729242,9,0,2110,992,1118,47.0142180094787
91,Niederweningen,2050,979,47.7560975609756,3,0,976,562,414,57.5819672131148
92,Oberglatt,3700,1170,31.6216216216216,6,0,1164,504,660,43.298969072165
93,Oberweningen,1188,572,48.1481481481482,4,0,568,262,306,46.1267605633803
94,Otelfingen,1799,897,49.8610339077265,5,0,892,465,427,52.1300448430493
95,Regensberg,308,184,59.7402597402598,0,0,184,106,78,57.6086956521739
96,Regensdorf,9886,3643,36.8500910378313,20,0,3623,1700,1923,46.9224399668783
97,Rümlang,4514,1584,35.0908285334515,11,0,1573,681,892,43.2930705657978
98,Schleinikon,628,286,45.5414012738854,4,0,282,112,170,39.7163120567376
99,Schöfflisdorf,943,524,55.5673382820785,2,0,522,254,268,48.6590038314176
100,Stadel,1653,703,42.5287356321839,4,0,699,287,412,41.0586552217454
101,Steinmaur,2151,1180,54.8582054858206,8,6,1166,602,564,51.6295025728988
102,Weiach,1248,634,50.8012820512821,6,0,628,246,382,39.171974522293
111,Bäretswil,3646,1740,47.723532638508,13,0,1727,699,1028,40.4748118123914
112,Bubikon,5372,2728,50.7818317200298,11,0,2717,1407,1310,51.785057048215
113,Dürnten,5072,2403,47.3777602523659,12,0,2391,1177,1214,49.2262651610205
114,Fischenthal,1739,815,46.8660149511213,3,1,811,258,553,31.8125770653514
