bfs_gmde_nummer_2009,bfs_gmde_name_2009,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung,Gültige Stimmen,Ja-Stimmen,Ja in %
1,Aeugst am Albis,1236,668,54.045307443365694,646,216,33.43653250773994
2,Affoltern am Albis,6427,3165,49.24537109071106,2992,1187,39.67245989304813
3,Bonstetten,3442,1896,55.08425334108077,1819,738,40.5717427157779
4,Hausen am Albis,2301,1202,52.238157322903085,1157,450,38.89369057908384
5,Hedingen,2276,1270,55.799648506151144,1219,435,35.68498769483183
6,Kappel am Albis,624,322,51.60256410256411,313,132,42.17252396166134
7,Knonau,1193,630,52.80804694048617,610,215,35.24590163934426
8,Maschwanden,429,215,50.116550116550115,202,64,31.683168316831683
9,Mettmenstetten,2887,1533,53.10010391409768,1470,538,36.59863945578232
10,Obfelden,2992,1480,49.46524064171123,1403,566,40.34212401995724
11,Ottenbach,1689,956,56.60153937240971,931,370,39.7422126745435
12,Rifferswil,632,406,64.24050632911393,390,123,31.538461538461537
13,Stallikon,2043,1125,55.06607929515419,1079,472,43.744207599629284
14,Wettswil am Albis,3108,1782,57.335907335907336,1723,733,42.542077771329076
21,Adlikon,471,297,63.05732484076433,283,142,50.17667844522968
22,Benken (ZH),564,305,54.07801418439716,298,96,32.214765100671144
23,Berg am Irchel,468,281,60.04273504273504,274,107,39.051094890510946
24,Buch am Irchel,612,323,52.77777777777778,308,149,48.37662337662338
25,Dachsen,1264,671,53.085443037974684,633,190,30.015797788309637
26,Dorf,439,265,60.36446469248291,251,139,55.37848605577689
27,Feuerthalen,2209,1042,47.17066545948393,966,295,30.538302277432713
28,Flaach,853,483,56.623681125439624,456,220,48.24561403508772
29,Flurlingen,945,543,57.460317460317455,525,132,25.142857142857142
30,Andelfingen,1270,786,61.889763779527556,749,297,39.65287049399198
31,Henggart,1437,795,55.323590814196244,760,351,46.18421052631579
32,Humlikon,338,203,60.05917159763314,197,103,52.28426395939086
33,Kleinandelfingen,1461,799,54.68856947296372,758,311,41.029023746701846
34,Laufen-Uhwiesen,1121,622,55.48617305976806,591,218,36.88663282571912
35,Marthalen,1399,807,57.68406004288778,767,358,46.67535853976532
36,Oberstammheim,817,453,55.44675642594859,427,189,44.26229508196722
37,Ossingen,1013,583,57.55182625863771,556,241,43.34532374100719
38,Rheinau,878,511,58.2004555808656,479,164,34.23799582463465
39,Thalheim an der Thur,571,281,49.21190893169877,261,116,44.44444444444444
40,Trüllikon,782,398,50.89514066496164,383,176,45.95300261096606
41,Truttikon,342,208,60.81871345029239,199,94,47.23618090452261
42,Unterstammheim,639,378,59.15492957746479,358,140,39.10614525139665
43,Volken,210,132,62.857142857142854,119,63,52.94117647058824
44,Waltalingen,486,271,55.76131687242798,251,103,41.035856573705175
51,Bachenbülach,2342,1113,47.52348420153715,1049,503,47.950428979980934
52,Bassersdorf,6757,3162,46.795915347047504,3014,1259,41.77173191771732
53,Bülach,10598,5118,48.29213059067748,4894,2019,41.25459746628525
54,Dietlikon,4493,2341,52.10327175606499,2243,967,43.11190370040125
55,Eglisau,2452,1580,64.43719412724306,1519,588,38.70967741935484
56,Embrach,5441,2508,46.094467928689575,2393,1100,45.9674049310489
57,Freienstein-Teufen,1577,860,54.533925174381736,812,357,43.96551724137931
58,Glattfelden,2662,1250,46.9571750563486,1192,549,46.057046979865774
59,Hochfelden,1255,647,51.55378486055777,615,305,49.59349593495935
60,Höri,1372,601,43.80466472303207,577,299,51.81975736568458
61,Hüntwangen,689,371,53.84615384615385,359,143,39.83286908077994
62,Kloten,10702,4547,42.48738553541394,4324,1843,42.62257169287697
63,Lufingen,1064,533,50.09398496240601,509,250,49.11591355599214
64,Nürensdorf,3613,1981,54.82978134514254,1887,869,46.051934287228406
65,Oberembrach,756,424,56.08465608465608,408,202,49.509803921568626
66,Opfikon,7279,2809,38.59046572331364,2703,1238,45.800961894191644
67,Rafz,2595,1422,54.79768786127167,1360,621,45.661764705882355
68,Rorbas,1407,642,45.62899786780384,611,260,42.55319148936171
69,Wallisellen,8008,3907,48.78871128871129,3771,1598,42.376027578891545
70,Wasterkingen,421,249,59.14489311163895,238,95,39.91596638655462
71,Wil (ZH),978,549,56.13496932515338,533,196,36.772983114446525
72,Winkel,2817,1488,52.822151224707135,1425,724,50.807017543859644
81,Bachs,445,223,50.1123595505618,215,114,53.02325581395349
82,Boppelsen,881,473,53.68898978433598,451,227,50.33259423503326
83,Buchs (ZH),3321,1506,45.347786811201445,1426,721,50.56100981767181
84,Dällikon,2135,965,45.19906323185012,917,422,46.0196292257361
85,Dänikon,1090,525,48.165137614678905,512,262,51.171875
86,Dielsdorf,3349,1548,46.22275306061511,1451,618,42.591316333563064
87,Hüttikon,466,216,46.351931330472105,201,110,54.72636815920398
88,Neerach,2190,1128,51.50684931506849,1088,565,51.930147058823536
89,Niederglatt,2810,1309,46.58362989323844,1245,618,49.63855421686747
90,Niederhasli,5039,2380,47.23159357015281,2273,1036,45.57853057633084
91,Niederweningen,1766,902,51.075877689694224,874,374,42.79176201372998
92,Oberglatt,2969,1251,42.13539912428428,1186,506,42.66441821247892
93,Oberweningen,1053,540,51.282051282051285,513,221,43.07992202729044
94,Otelfingen,1526,771,50.52424639580603,735,296,40.27210884353742
95,Regensberg,319,195,61.128526645768034,189,75,39.682539682539684
96,Regensdorf,9050,4001,44.209944751381215,3768,1762,46.762208067940556
97,Rümlang,3817,1675,43.88263033796175,1577,677,42.9296131896005
98,Schleinikon,504,265,52.579365079365076,251,95,37.84860557768924
99,Schöfflisdorf,904,496,54.86725663716815,473,185,39.112050739957716
