"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Hauptsprachen - Total Staatsangehörigkeit - Total","Hauptsprachen - Total Schweizer","Hauptsprachen - Total Ausländer","Deutsch Staatsangehörigkeit - Total","Deutsch Schweizer","Deutsch Ausländer","Französisch Staatsangehörigkeit - Total","Französisch Schweizer","Französisch Ausländer","Italienisch Staatsangehörigkeit - Total","Italienisch Schweizer","Italienisch Ausländer","Rätoromanisch Staatsangehörigkeit - Total","Rätoromanisch Schweizer","Rätoromanisch Ausländer","Englisch Staatsangehörigkeit - Total","Englisch Schweizer","Englisch Ausländer","Niederländisch Staatsangehörigkeit - Total","Niederländisch Schweizer","Niederländisch Ausländer","Skandinavische Sprachen Staatsangehörigkeit - Total","Skandinavische Sprachen Schweizer","Skandinavische Sprachen Ausländer","Griechisch Staatsangehörigkeit - Total","Griechisch Schweizer","Griechisch Ausländer","Spanisch Staatsangehörigkeit - Total","Spanisch Schweizer","Spanisch Ausländer","Slawische Sprachen (ohne Tschechisch und Slowakisch) Staatsangehörigkeit - Total","Slawische Sprachen (ohne Tschechisch und Slowakisch) Schweizer","Slawische Sprachen (ohne Tschechisch und Slowakisch) Ausländer","Tschechisch und Slowakisch Staatsangehörigkeit - Total","Tschechisch und Slowakisch Schweizer","Tschechisch und Slowakisch Ausländer","Ungarisch Staatsangehörigkeit - Total","Ungarisch Schweizer","Ungarisch Ausländer","Andere Sprachen Staatsangehörigkeit - Total","Andere Sprachen Schweizer","Andere Sprachen Ausländer"
"1970","Schweiz",6269783,5189707,1080076,4071289,3864684,206605,1134010,1045091,88919,743760,207557,536203,50339,49455,884,32509,6646,25863,11935,2559,9376,8216,1946,6270,9038,517,8521,123708,3411,120297,30429,2659,27770,13028,536,12492,12642,2700,9942,28880,1946,26934
"1970","- Kanton Zürich",1107788,897684,210104,918370,858157,60213,18756,16672,2084,113465,11703,101762,4706,4625,81,5493,1954,3539,2494,693,1801,1950,630,1320,3024,165,2859,17143,844,16299,7667,744,6923,4227,190,4037,4170,713,3457,6323,594,5729
"1970",">> Bezirk Affoltern",24131,19913,4218,20544,19404,1140,223,207,16,2610,153,2457,66,65,1,94,37,57,51,14,37,17,2,15,7,1,6,215,0,215,84,11,73,71,6,65,35,7,28,114,6,108
"1970","......0001 Aeugst am Albis",700,662,38,674,649,25,8,8,0,10,0,10,4,4,0,1,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1970","......0002 Affoltern am Albis",7363,5591,1772,5960,5417,543,70,66,4,1039,59,980,23,23,0,26,10,16,11,3,8,3,0,3,4,1,3,88,0,88,29,4,25,42,5,37,20,2,18,48,1,47
"1970","......0003 Bonstetten",1706,1457,249,1504,1413,91,24,21,3,139,13,126,2,2,0,9,3,6,11,4,7,1,0,1,0,0,0,2,0,2,5,0,5,3,0,3,4,1,3,2,0,2
"1970","......0004 Hausen am Albis",1844,1618,226,1651,1594,57,9,9,0,143,3,140,5,4,1,8,4,4,5,0,5,0,0,0,0,0,0,7,0,7,6,2,4,6,0,6,3,1,2,1,1,0
"1970","......0005 Hedingen",1880,1484,396,1508,1438,70,13,13,0,310,10,300,16,16,0,1,1,0,1,1,0,1,0,1,1,0,1,13,0,13,0,0,0,7,1,6,1,1,0,8,3,5
"1970","......0006 Kappel am Albis",636,613,23,620,609,11,2,2,0,3,1,2,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
"1970","......0007 Knonau",932,785,147,801,779,22,3,3,0,84,3,81,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,24,0,24,3,0,3,3,0,3,2,0,2,9,0,9
