Jahr,Gemeindename,Hauptsprachen_-_Total_Staatsangehörigkeit_-_Total,Hauptsprachen_-_Total_Schweizer,Hauptsprachen_-_Total_Ausländer,Deutsch_Staatsangehörigkeit_-_Total,Deutsch_Schweizer,Deutsch_Ausländer,Französisch_Staatsangehörigkeit_-_Total,Französisch_Schweizer,Französisch_Ausländer,Italienisch_Staatsangehörigkeit_-_Total,Italienisch_Schweizer,Italienisch_Ausländer,Rätoromanisch_Staatsangehörigkeit_-_Total,Rätoromanisch_Schweizer,Rätoromanisch_Ausländer,Englisch_Staatsangehörigkeit_-_Total,Englisch_Schweizer,Englisch_Ausländer,Niederländisch_Staatsangehörigkeit_-_Total,Niederländisch_Schweizer,Niederländisch_Ausländer,Skandinavische_Sprachen_Staatsangehörigkeit_-_Total,Skandinavische_Sprachen_Schweizer,Skandinavische_Sprachen_Ausländer,Griechisch_Staatsangehörigkeit_-_Total,Griechisch_Schweizer,Griechisch_Ausländer,Spanisch_Staatsangehörigkeit_-_Total,Spanisch_Schweizer,Spanisch_Ausländer,Slawische_Sprachen_(ohne_Tschechisch_und_Slowakisch)_Staatsangehörigkeit_-_Total,Slawische_Sprachen_(ohne_Tschechisch_und_Slowakisch)_Schweizer,Slawische_Sprachen_(ohne_Tschechisch_und_Slowakisch)_Ausländer,Tschechisch_und_Slowakisch_Staatsangehörigkeit_-_Total,Tschechisch_und_Slowakisch_Schweizer,Tschechisch_und_Slowakisch_Ausländer,Ungarisch_Staatsangehörigkeit_-_Total,Ungarisch_Schweizer,Ungarisch_Ausländer,Andere_Sprachen_Staatsangehörigkeit_-_Total,Andere_Sprachen_Schweizer,Andere_Sprachen_Ausländer,Gemeindenummer
2000,Aeugst am Albis,1544,1447,97,1470,1412,58,14,12,2,9,5,4,1,1,0,24,9,15,3,0,3,6,0,6,0,0,0,6,6,0,3,0,3,0,0,0,0,0,0,8,2,6,0001
2000,Affoltern am Albis,10314,7487,2827,8511,7215,1296,81,58,23,514,41,473,14,13,1,80,33,47,13,2,11,9,2,7,0,0,0,118,29,89,410,25,385,20,11,9,14,8,6,530,50,480,0002
2000,Bonstetten,3893,3421,472,3527,3282,245,36,29,7,73,27,46,11,11,0,86,28,58,6,0,6,6,3,3,1,1,0,21,13,8,20,0,20,9,2,7,10,4,6,87,21,66,0003
2000,Hausen am Albis,3040,2775,265,2846,2706,140,16,16,0,37,16,21,1,1,0,36,10,26,4,2,2,4,2,2,3,0,3,7,3,4,32,11,21,1,1,0,0,0,0,53,7,46,0004
2000,Hedingen,2991,2522,469,2652,2420,232,30,21,9,91,17,74,9,9,0,28,13,15,3,2,1,2,1,1,0,0,0,28,19,9,64,1,63,5,5,0,4,3,1,75,11,64,0005
2000,Kappel am Albis,865,816,49,831,802,29,6,5,1,2,1,1,0,0,0,11,3,8,2,1,1,5,1,4,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,3,1,2,0006
2000,Knonau,1445,1305,140,1343,1267,76,8,7,1,38,9,29,0,0,0,16,15,1,0,0,0,4,2,2,0,0,0,2,2,0,12,2,10,1,1,0,0,0,0,21,0,21,0007
2000,Maschwanden,553,525,28,541,521,20,2,2,0,3,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0008
2000,Mettmenstetten,3724,3356,368,3455,3278,177,21,17,4,60,17,43,3,3,0,32,13,19,10,1,9,4,3,1,1,1,0,21,3,18,63,4,59,0,0,0,1,1,0,53,15,38,0009
2000,Obfelden,4182,3536,646,3747,3430,317,31,29,2,164,20,144,13,13,0,21,12,9,4,0,4,7,3,4,4,1,3,12,7,5,55,8,47,5,1,4,1,0,1,118,12,106,0010
2000,Ottenbach,2164,2013,151,2025,1947,78,18,18,0,37,11,26,4,4,0,22,13,9,2,1,1,1,1,0,0,0,0,7,3,4,5,0,5,2,1,1,2,1,1,39,13,26,0011
2000,Rifferswil,714,688,26,696,679,17,5,4,1,3,2,1,1,1,0,2,0,2,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,3,0,3,0012
2000,Stallikon,2608,2307,301,2372,2211,161,50,36,14,26,5,21,4,4,0,44,16,28,5,2,3,1,0,1,1,1,0,29,9,20,15,3,12,8,6,2,3,2,1,50,12,38,0013
2000,Wettswil am Albis,3784,3404,380,3471,3263,208,54,45,9,51,19,32,7,7,0,46,24,22,9,3,6,10,2,8,2,1,1,18,10,8,25,3,22,8,8,0,3,1,2,80,18,62,0014
2000,Adlikon,587,565,22,576,563,13,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,6,0021
2000,Benken (ZH),704,662,42,660,642,18,10,9,1,4,3,1,0,0,0,3,3,0,1,0,1,1,0,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,20,2,18,0022
2000,Berg am Irchel,573,542,31,546,529,17,2,2,0,3,2,1,1,1,0,6,5,1,1,0,1,0,0,0,1,1,0,2,0,2,2,0,2,0,0,0,0,0,0,9,2,7,0023
2000,Buch am Irchel,728,698,30,716,694,22,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,5,2,3,0024
2000,Dachsen,1533,1410,123,1458,1376,82,10,9,1,24,9,15,2,2,0,7,5,2,0,0,0,1,0,1,0,0,0,3,1,2,5,1,4,0,0,0,2,2,0,21,5,16,0025
2000,Dorf,593,549,44,566,541,25,2,2,0,1,0,1,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,6,1,5,0026
2000,Feuerthalen,2973,2512,461,2710,2445,265,11,11,0,90,15,75,2,2,0,8,6,2,3,2,1,2,1,1,0,0,0,12,6,6,36,6,30,5,1,4,2,0,2,92,17,75,0027
2000,Flaach,1164,1049,115,1066,1027,39,4,4,0,5,1,4,4,4,0,7,3,4,3,3,0,1,0,1,0,0,0,5,1,4,34,1,33,1,1,0,1,1,0,33,3,30,0028
