"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Religion - Total","Evangelisch-reformierte Kirche","Evangelisch-methodistische Kirche","Neuapostolische Kirchen","Zeugen Jehovas","Übrige protestantische Kirchen und Gemeinschaften","Römisch-katholische Kirche","Christkatholische Kirche","Christlich-orthodoxe Kirchen","Andere christliche Gemeinschaften","Jüdische Glaubensgemeinschaft","Islamische Gemeinschaften","Andere Kirchen und Religionsgemeinschaften","Keine Zugehörigkeit","Ohne Angabe"
"1970","Schweiz",6269783,2910461,10861,30832,10369,26084,3096654,20268,20967,3087,20744,16353,7237,71579,24287
"1970","- Kanton Zürich",1107788,637536,3437,10524,1652,6032,406280,3189,5630,633,6713,3961,1577,17560,3064
"1970",">> Bezirk Affoltern",24131,15152,81,276,27,89,7965,28,38,3,27,99,18,288,40
"1970","......0001 Aeugst am Albis",700,500,9,6,0,4,156,4,0,0,0,0,0,20,1
"1970","......0002 Affoltern am Albis",7363,3985,30,106,9,29,3040,7,20,0,5,44,4,77,7
"1970","......0003 Bonstetten",1706,1186,2,38,1,2,445,2,1,0,1,0,2,26,0
"1970","......0004 Hausen am Albis",1844,1173,9,6,0,14,594,1,0,1,5,3,3,33,2
"1970","......0005 Hedingen",1880,1131,2,29,0,4,672,2,1,0,3,5,0,29,2
"1970","......0006 Kappel am Albis",636,511,1,2,2,0,116,0,2,0,0,0,0,2,0
"1970","......0007 Knonau",932,613,0,0,2,2,299,1,0,0,0,10,0,5,0
"1970","......0008 Maschwanden",400,331,1,2,0,0,63,0,0,0,0,0,0,3,0
"1970","......0009 Mettmenstetten",1866,1306,0,30,2,7,503,0,1,0,1,5,0,8,3
"1970","......0010 Obfelden",2255,1300,13,19,0,12,858,0,3,0,1,20,0,8,21
"1970","......0011 Ottenbach",1285,885,4,0,0,9,364,0,2,0,0,3,0,16,2
"1970","......0012 Rifferswil",499,379,0,0,8,1,88,5,6,2,1,0,0,9,0
"1970","......0013 Stallikon",1062,724,2,11,3,1,287,0,0,0,1,9,0,22,2
"1970","......0014 Wettswil am Albis",1703,1128,8,27,0,4,480,6,2,0,9,0,9,30,0
"1970",">> Bezirk Andelfingen",20112,15692,98,170,13,119,3714,37,36,0,12,32,9,161,19
"1970","......0021 Adlikon",380,356,2,0,0,5,13,0,0,0,0,1,0,3,0
"1970","......0022 Benken (ZH)",491,444,0,0,0,1,43,0,0,0,0,1,1,1,0
"1970","......0023 Berg am Irchel",386,346,0,0,0,0,40,0,0,0,0,0,0,0,0
"1970","......0024 Buch am Irchel",426,402,0,0,0,6,11,0,0,0,0,0,0,4,3
"1970","......0025 Dachsen",793,634,7,5,0,13,127,0,3,0,2,0,0,2,0
"1970","......0026 Dorf",280,270,0,0,0,4,6,0,0,0,0,0,0,0,0
"1970","......0027 Feuerthalen",3118,1862,13,57,7,25,1071,23,2,0,0,6,1,48,3
"1970","......0028 Flaach",853,722,48,6,0,5,71,0,0,0,0,0,0,1,0
"1970","......0029 Flurlingen",935,586,4,18,4,0,299,1,8,0,5,0,2,8,0
"1970","......0030 Andelfingen",1453,1112,0,5,0,29,281,2,4,0,2,4,0,12,2
"1970","......0031 Henggart",715,592,0,10,0,5,93,0,0,0,0,0,0,12,3
"1970","......0032 Humlikon",234,215,0,1,1,0,13,0,1,0,0,0,0,3,0
"1970","......0033 Kleinandelfingen",1202,994,5,3,0,8,178,1,4,0,0,7,0,0,2
"1970","......0034 Laufen-Uhwiesen",1048,831,5,2,0,4,180,3,4,0,0,0,1,18,0
"1970","......0035 Marthalen",1249,1096,1,13,0,1,136,0,1,0,0,0,0,1,0
"1970","......0036 Oberstammheim",765,670,2,1,1,0,85,1,0,0,0,3,0,2,0
"1970","......0037 Ossingen",898,801,0,0,0,8,82,0,0,0,0,0,0,6,1
"1970","......0038 Rheinau",2075,1248,2,10,0,3,765,5,6,0,3,6,1,24,2
"1970","......0039 Thalheim an der Thur",462,427,0,5,0,2,25,0,2,0,0,0,0,1,0
"1970","......0040 Trüllikon",724,623,0,34,0,0,50,1,1,0,0,4,2,8,1
"1970","......0041 Truttikon",275,255,0,0,0,0,14,0,0,0,0,0,1,5,0
"1970","......0042 Unterstammheim",693,595,1,0,0,0,94,0,0,0,0,0,0,2,1
"1970","......0043 Volken",210,198,8,0,0,0,4,0,0,0,0,0,0,0,0
"1970","......0044 Waltalingen",447,413,0,0,0,0,33,0,0,0,0,0,0,0,1
"1970",">> Bezirk Bülach",84046,49758,382,1086,145,580,29615,147,424,38,91,452,81,1131,116
"1970","......0051 Bachenbülach",2307,1239,23,2,6,46,885,3,23,1,1,40,10,25,3
"1970","......0052 Bassersdorf",5590,3476,14,27,7,31,1892,10,14,5,3,17,9,80,5
"1970","......0053 Bülach",11043,6455,85,149,17,115,4006,12,47,0,11,27,1,95,23
"1970","......0054 Dietlikon",4381,2415,3,47,3,20,1748,1,24,14,8,32,2,54,10
"1970","......0055 Eglisau",2160,1571,20,27,10,12,502,0,1,0,1,2,1,13,0
"1970","......0056 Embrach",4123,2636,71,25,5,15,1274,7,11,0,0,33,2,43,1
