Wohnsitztyp,Gemeindename,Religionen_Total,Evangelisch-reformierte_Kirche,Evangelisch-methodistische_Kirche,Neupietistisch-evangelikale_Gemeinden,Pfingstgemeinden,Neuapostolische_Kirchen,Zeugen_Jehovas,Übrige_protestantische_Kirchen_und_Gemeinschaften,Römisch-katholische_Kirche,Christkatholische_Kirche,Christlich-orthodoxe_Kirchen,Andere_christliche_Gemeinschaften,Jüdische_Glaubensgemeinschaft,Islamische_Gemeinschaften,Buddhistische_Vereinigungen,Hinduistische_Vereinigungen,Übrige_Kirchen_und_Religionsgemeinschaften,Keine_Zugehörigkeit,Ohne_Angabe,Gemeindenummer
Zivilrechtlicher Wohnsitz,Aeugst am Albis,1531,869,17,12,13,10,0,7,295,2,1,9,2,7,1,0,1,236,49,0001
Zivilrechtlicher Wohnsitz,Affoltern am Albis,10227,3873,47,49,80,104,54,58,3261,8,398,12,6,781,24,31,8,1035,398,0002
Zivilrechtlicher Wohnsitz,Bonstetten,3908,1743,9,33,24,56,10,43,1135,6,21,10,1,73,14,39,6,587,98,0003
Zivilrechtlicher Wohnsitz,Hausen am Albis,3073,1441,5,17,3,19,2,12,929,4,55,5,1,49,2,7,8,431,83,0004
Zivilrechtlicher Wohnsitz,Hedingen,3024,1450,2,31,8,9,1,4,859,0,24,2,2,153,3,2,3,402,69,0005
Zivilrechtlicher Wohnsitz,Kappel am Albis,873,480,0,7,0,0,3,2,221,0,8,0,0,7,0,0,6,111,28,0006
Zivilrechtlicher Wohnsitz,Knonau,1435,625,2,0,14,10,11,30,497,4,12,7,0,22,2,8,3,142,46,0007
Zivilrechtlicher Wohnsitz,Maschwanden,563,327,0,0,10,2,0,9,136,0,1,0,0,0,0,1,1,57,19,0008
Zivilrechtlicher Wohnsitz,Mettmenstetten,3719,1835,3,21,4,32,14,78,1018,0,85,3,9,46,14,8,3,425,121,0009
Zivilrechtlicher Wohnsitz,Obfelden,4223,1784,30,86,8,43,33,34,1295,0,93,2,1,175,8,1,1,509,120,0010
Zivilrechtlicher Wohnsitz,Ottenbach,2196,1162,5,15,10,16,1,25,611,1,9,2,1,20,9,9,0,272,28,0011
Zivilrechtlicher Wohnsitz,Rifferswil,727,410,3,4,0,7,0,8,150,2,1,2,0,0,0,0,0,135,5,0012
Zivilrechtlicher Wohnsitz,Stallikon,2615,1153,0,4,11,37,8,19,751,1,17,15,15,20,3,0,8,490,63,0013
Zivilrechtlicher Wohnsitz,Wettswil am Albis,3840,1760,4,23,18,36,6,31,1137,11,21,5,11,57,29,11,13,600,67,0014
Zivilrechtlicher Wohnsitz,Adlikon,590,442,2,15,1,1,0,7,48,0,1,0,0,11,0,0,1,54,7,0021
Zivilrechtlicher Wohnsitz,Benken (ZH),711,474,0,29,0,0,0,4,99,0,3,10,1,16,0,1,1,61,12,0022
Zivilrechtlicher Wohnsitz,Berg am Irchel,583,436,3,9,0,0,0,1,51,0,7,1,0,15,0,0,0,47,13,0023
Zivilrechtlicher Wohnsitz,Buch am Irchel,740,550,0,8,3,4,0,3,71,0,0,0,0,16,0,0,1,72,12,0024
Zivilrechtlicher Wohnsitz,Dachsen,1560,945,2,19,8,26,5,5,309,0,7,6,0,12,1,1,1,176,37,0025
