VORLAGE_ID;URNENGANG_ID;URNENGANG_DATUM;VORLAGE_TITEL_DE;GEMEINDE_NUMMER;GEMEINDE_BEZEICHNUNG;BEZIRK_NUMMER;BEZIRK_BEZEICHNUNG;KANTON_NUMMER;KANTON_BEZEICHNUNG;STIMMBERECHTIGTE;STIMMBERECHTIGTE_AS;STIMMZETTEL_EINGELEGT;STIMMZETTEL_LEER;STIMMZETTEL_UNGUELTIG;STIMMEN_JA;STIMMEN_NEIN;STIMMEN_OHNE_ANTWORT
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;1;Aeugst am Albis;101;Bezirk Affoltern;1;Zürich;577;;285;3;0;181;101;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;2;Affoltern am Albis;101;Bezirk Affoltern;1;Zürich;4543;;1557;21;0;941;595;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;3;Bonstetten;101;Bezirk Affoltern;1;Zürich;1411;;581;7;0;401;173;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;4;Hausen am Albis;101;Bezirk Affoltern;1;Zürich;1330;;450;10;0;284;156;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;5;Hedingen;101;Bezirk Affoltern;1;Zürich;1235;;452;4;0;297;151;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;6;Kappel am Albis;101;Bezirk Affoltern;1;Zürich;371;;190;2;1;90;97;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;7;Knonau;101;Bezirk Affoltern;1;Zürich;591;;348;11;0;194;143;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;8;Maschwanden;101;Bezirk Affoltern;1;Zürich;286;;150;4;0;83;63;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;9;Mettmenstetten;101;Bezirk Affoltern;1;Zürich;1415;;630;9;0;378;243;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;10;Obfelden;101;Bezirk Affoltern;1;Zürich;1944;;610;15;0;393;202;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;11;Ottenbach;101;Bezirk Affoltern;1;Zürich;908;;331;8;0;220;103;
3060;197;14JUN1981:00:00:00;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;12;Rifferswil;101;Bezirk Affoltern;1;Zürich;379;;244;9;0;153;82;
