Nr.,Kt.,bfs_gmde_nummer_1974,bfs_gmde_name_1974,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung in %,leer,ungültig,Gültige Stimmen,JA,NEIN,JA in %
1,ZH,1,Aeugst,454.0,308.0,67.84140969162995,,,301,76,225,25.249169435215947
1,ZH,2,Affoltern am Albis,4092.0,2995.0,73.19159335288367,,,2977,1022,1955,34.32986227746053
1,ZH,3,Bonstetten,1016.0,747.0,73.5236220472441,,,744,227,517,30.51075268817204
1,ZH,4,Hausen am Albis,1098.0,769.0,70.03642987249545,,,762,285,477,37.40157480314961
1,ZH,5,Hedingen,1017.0,770.0,75.71288102261553,,,769,243,526,31.59947984395319
1,ZH,6,Kappel am Albis,334.0,255.0,76.34730538922155,,,254,132,122,51.968503937007874
1,ZH,7,Knonau,496.0,387.0,78.02419354838709,,,386,124,262,32.12435233160622
1,ZH,8,Maschwanden,269.0,191.0,71.00371747211895,,,190,56,134,29.473684210526315
1,ZH,9,Mettmenstetten,1162.0,868.0,74.69879518072288,,,866,305,561,35.21939953810623
1,ZH,10,Obfelden,1356.0,971.0,71.60766961651917,,,962,326,636,33.88773388773389
1,ZH,11,Ottenbach,797.0,517.0,64.86825595984944,,,516,148,368,28.68217054263566
1,ZH,12,Rifferswil,347.0,263.0,75.79250720461096,,,259,74,185,28.571428571428573
1,ZH,13,Stallikon,738.0,492.0,66.66666666666666,,,486,123,363,25.308641975308642
1,ZH,14,Wettswil,1644.0,1320.0,80.2919708029197,,,1303,249,1054,19.109746738296238
1,ZH,21,Adlikon,231.0,190.0,82.25108225108225,,,185,75,110,40.54054054054054
1,ZH,22,Benken (ZH),333.0,268.0,80.48048048048048,,,264,110,154,41.666666666666664
1,ZH,23,Berg am Irchel,246.0,211.0,85.77235772357723,,,209,66,143,31.57894736842105
1,ZH,24,Buch am Irchel,264.0,229.0,86.74242424242424,,,222,100,122,45.04504504504504
1,ZH,25,Dachsen,588.0,463.0,78.74149659863946,,,455,147,308,32.30769230769231
