bfs_gmde_nummer_2005,bfs_gmde_name_2005,Stimmberechtigte,Abgegebene Stimmen,Gültige Stimmen,JA
1,Aeugst am Albis,1171,708,690,452
2,Affoltern am Albis,6115,3176,3120,1703
3,Bonstetten,3124,1915,1887,1138
4,Hausen am Albis,2277,1257,1238,733
5,Hedingen,2055,1230,1215,754
6,Kappel am Albis,620,354,351,173
7,Knonau,1045,607,602,341
8,Maschwanden,435,229,228,113
9,Mettmenstetten,2795,1664,1638,967
10,Obfelden,2911,1610,1573,895
11,Ottenbach,1652,951,941,603
12,Rifferswil,583,387,384,233
13,Stallikon,1998,1170,1164,705
14,Wettswil am Albis,3047,1831,1793,1118
21,Adlikon,446,285,285,130
22,Benken (ZH),539,329,329,122
23,Berg am Irchel,455,288,286,129
24,Buch am Irchel,573,332,332,153
25,Dachsen,1187,641,636,381
26,Dorf,436,274,269,106
27,Feuerthalen,2132,1148,1117,586
28,Flaach,810,493,489,201
29,Flurlingen,964,589,580,378
30,Andelfingen,1210,774,760,433
31,Henggart,1262,770,753,362
32,Humlikon,319,208,208,86
33,Kleinandelfingen,1371,841,817,426
34,Laufen-Uhwiesen,1101,670,657,380
35,Marthalen,1355,828,826,357
36,Oberstammheim,794,477,464,258
37,Ossingen,931,544,543,272
38,Rheinau,854,502,492,300
39,Thalheim an der Thur,518,302,298,122
40,Trüllikon,762,411,401,184
41,Truttikon,342,238,234,90
42,Unterstammheim,626,391,390,234
43,Volken,212,116,112,48
44,Waltalingen,479,308,300,152
51,Bachenbülach,2165,1079,1072,575
52,Bassersdorf,6003,3044,2971,1691
53,Bülach,9430,5049,4925,2450
54,Dietlikon,4432,2397,2381,1392
55,Eglisau,2324,1329,1304,686
56,Embrach,5124,2607,2551,1284
57,Freienstein-Teufen,1571,870,860,467
58,Glattfelden,2471,1353,1347,539
59,Hochfelden,1159,713,704,290
60,Höri,1331,667,653,244
61,Hüntwangen,643,382,381,197
62,Kloten,10633,5217,5175,2708
63,Lufingen,1040,618,615,297
64,Nürensdorf,3490,2104,2051,1127
65,Oberembrach,733,435,421,193
66,Opfikon,6601,3350,3314,1594
67,Rafz,2376,1409,1401,672
68,Rorbas,1412,697,683,341
69,Wallisellen,7955,4382,4321,2478
70,Wasterkingen,427,259,255,99
71,Wil (ZH),958,599,597,248
72,Winkel,2655,1578,1560,822
81,Bachs,426,242,235,107
82,Boppelsen,857,488,484,262
83,Buchs (ZH),3222,1715,1689,795
84,Dällikon,2083,1061,1058,476
85,Dänikon,1057,571,551,259
86,Dielsdorf,3097,1637,1623,842
87,Hüttikon,384,215,214,82
88,Neerach,1985,1097,1087,561
89,Niederglatt,2632,1400,1388,600
90,Niederhasli,4751,2738,2695,1257
91,Niederweningen,1642,969,955,492
92,Oberglatt,2894,1382,1354,585
93,Oberweningen,978,567,564,288
94,Otelfingen,1509,825,810,446
95,Regensberg,322,197,195,125
96,Regensdorf,8841,4459,4321,2092
97,Rümlang,3745,1938,1896,825
98,Schleinikon,480,283,282,125
99,Schöfflisdorf,805,483,475,237
100,Stadel,1320,707,703,279
101,Steinmaur,2053,1063,1045,534
102,Weiach,726,392,387,137
111,Bäretswil,3178,1781,1761,803
112,Bubikon,4113,2399,2368,1246
113,Dürnten,4095,2284,2241,1155
114,Fischenthal,1391,728,722,265
115,Gossau (ZH),6364,3575,3528,1864
116,Grüningen,1970,1147,1139,608
117,Hinwil,6782,3758,3710,1912
118,Rüti (ZH),7311,3739,3641,1888
119,Seegräben,811,511,507,316
120,Wald (ZH),5444,2772,2730,1340
121,Wetzikon (ZH),12281,6232,6162,3217
131,Adliswil,10037,5688,5526,3233
132,Hirzel,1404,809,805,447
133,Horgen,11134,6084,5932,3587
134,Hütten,651,416,413,155
135,Kilchberg (ZH),4981,2954,2910,1995
136,Langnau am Albis,4432,2492,2429,1480
137,Oberrieden,3504,2231,2211,1499
138,Richterswil,7542,4233,4179,2476
139,Rüschlikon,3448,2048,2037,1385
140,Schönenberg (ZH),1448,933,923,451
141,Thalwil,11003,6532,6388,4177
142,Wädenswil,12846,7414,7280,4225
151,Erlenbach (ZH),3441,2122,2055,1429
152,Herrliberg,4034,2603,2575,1689
153,Hombrechtikon,5137,2915,2854,1449
154,Küsnacht (ZH),9145,5849,5756,3934
155,Männedorf,6534,4088,4010,2493
156,Meilen,8314,5138,4985,3267
157,Oetwil am See,2449,1263,1249,594
158,Stäfa,8905,5502,5376,3330
159,Uetikon am See,3703,2201,2186,1351
160,Zumikon,3433,2249,2191,1607
161,Zollikon,8577,5411,5251,3685
171,Bauma,2757,1482,1474,599
172,Fehraltorf,3293,1859,1844,1053
173,Hittnau,2238,1292,1283,688
174,Illnau-Effretikon,10016,5548,5468,3053
175,Kyburg,272,167,166,91
176,Lindau,2921,1771,1752,950
177,Pfäffikon,6719,3669,3625,2043
178,Russikon,2838,1645,1616,868
179,Sternenberg,276,151,151,66
180,Weisslingen,2226,1294,1289,704
181,Wila,1313,736,722,296
182,Wildberg,671,406,402,190
191,Dübendorf,14142,7245,7214,3916
192,Egg,5177,3047,2995,1793
193,Fällanden,4799,2631,2582,1640
194,Greifensee,3490,2005,1994,1344
195,Maur,6250,3900,3817,2390
196,Mönchaltorf,2369,1386,1357,789
197,Schwerzenbach,2688,1465,1443,864
198,Uster,19465,10458,10235,6218
199,Volketswil,9420,4870,4771,2439
200,Wangen-Brüttisellen,3981,2007,1999,1069
211,Altikon,480,294,286,137
