bfs_gmde_nummer_2004,bfs_gmde_name_2004,Stimmberechtigte,Abgegebene Stimmen,Gültige Stimmen,JA
1,Aeugst am Albis,1174,711,703,359
2,Affoltern am Albis,6081,3489,3436,1337
3,Bonstetten,2996,1845,1811,858
4,Hausen am Albis,2200,1321,1294,599
5,Hedingen,1997,1225,1220,565
6,Kappel am Albis,627,393,389,137
7,Knonau,1031,641,629,292
8,Maschwanden,416,245,245,102
9,Mettmenstetten,2730,1630,1618,727
10,Obfelden,2883,1603,1576,596
11,Ottenbach,1634,942,936,462
12,Rifferswil,572,402,397,196
13,Stallikon,1998,1133,1128,541
14,Wettswil am Albis,2986,1839,1828,825
21,Adlikon,453,296,293,88
22,Benken (ZH),512,327,325,97
23,Berg am Irchel,451,304,297,90
24,Buch am Irchel,564,403,402,135
25,Dachsen,1163,673,665,264
26,Dorf,429,274,260,63
27,Feuerthalen,2120,1137,1127,407
28,Flaach,816,524,517,116
29,Flurlingen,979,619,612,298
30,Andelfingen,1215,792,783,311
31,Henggart,1239,810,801,247
32,Humlikon,311,221,221,60
33,Kleinandelfingen,1335,840,819,296
34,Laufen-Uhwiesen,1108,687,673,254
35,Marthalen,1328,829,822,240
36,Oberstammheim,798,501,488,178
37,Ossingen,910,588,581,171
38,Rheinau,865,521,519,211
39,Thalheim an der Thur,508,324,318,76
40,Trüllikon,759,444,442,117
41,Truttikon,334,230,228,76
42,Unterstammheim,614,358,357,165
43,Volken,204,138,137,25
44,Waltalingen,477,330,325,94
51,Bachenbülach,2024,1072,1070,387
52,Bassersdorf,5913,3160,3096,1213
53,Bülach,9178,5302,5229,1883
54,Dietlikon,4312,2506,2488,983
55,Eglisau,2251,1370,1342,490
56,Embrach,4982,2583,2553,871
57,Freienstein-Teufen,1555,943,932,349
58,Glattfelden,2381,1296,1291,379
59,Hochfelden,1152,722,713,181
60,Höri,1319,679,669,129
61,Hüntwangen,637,382,377,138
62,Kloten,10657,5571,5483,1820
63,Lufingen,984,604,597,174
64,Nürensdorf,3483,2171,2135,746
65,Oberembrach,738,445,443,129
66,Opfikon,6580,3443,3417,1115
67,Rafz,2322,1403,1387,436
68,Rorbas,1394,713,694,239
69,Wallisellen,7909,4465,4405,1653
70,Wasterkingen,426,272,272,90
71,Wil (ZH),948,587,584,152
72,Winkel,2625,1564,1544,503
81,Bachs,428,255,250,76
82,Boppelsen,841,531,529,190
83,Buchs (ZH),2927,1549,1523,443
84,Dällikon,2090,1138,1125,339
85,Dänikon,1057,639,638,183
86,Dielsdorf,2982,1563,1551,564
87,Hüttikon,380,221,218,42
88,Neerach,1985,1057,1054,338
89,Niederglatt,2569,1419,1382,345
90,Niederhasli,4761,2666,2632,792
91,Niederweningen,1575,921,912,324
92,Oberglatt,2861,1342,1315,387
93,Oberweningen,937,539,538,197
94,Otelfingen,1483,891,879,321
95,Regensberg,328,205,201,98
96,Regensdorf,8759,4749,4599,1549
97,Rümlang,3698,1999,1959,542
98,Schleinikon,486,316,314,101
99,Schöfflisdorf,814,507,492,162
100,Stadel,1325,693,690,178
101,Steinmaur,2068,1085,1064,387
102,Weiach,736,420,417,98
111,Bäretswil,3161,1767,1742,544
112,Bubikon,4009,2385,2353,911
113,Dürnten,4123,2402,2362,826
114,Fischenthal,1368,738,736,192
115,Gossau (ZH),6316,3710,3661,1355
116,Grüningen,1956,1211,1201,430
117,Hinwil,6698,3746,3719,1200
118,Rüti (ZH),7239,4014,3950,1300
119,Seegräben,833,529,519,193
120,Wald (ZH),5427,2803,2769,910
121,Wetzikon (ZH),12063,6330,6264,2174
131,Adliswil,10026,5716,5610,2421
132,Hirzel,1387,828,820,359
133,Horgen,11086,6387,6273,2590
134,Hütten,645,372,372,108
135,Kilchberg (ZH),5034,3026,3009,1541
136,Langnau am Albis,4454,2537,2504,1091
137,Oberrieden,3479,2275,2238,1085
138,Richterswil,7387,4189,4140,1755
139,Rüschlikon,3402,2146,2134,1053
140,Schönenberg (ZH),1425,852,840,272
141,Thalwil,10928,6589,6520,3338
142,Wädenswil,12700,7510,7397,3179
151,Erlenbach (ZH),3421,2069,2036,1081
152,Herrliberg,4069,2586,2553,1188
153,Hombrechtikon,5077,2839,2797,963
154,Küsnacht (ZH),9140,5834,5766,2792
155,Männedorf,6475,4039,4000,1885
156,Meilen,8308,5030,4908,2351
157,Oetwil am See,2454,1274,1264,413
158,Stäfa,8719,5702,5629,2466
159,Uetikon am See,3701,2227,2213,1027
160,Zumikon,3383,2280,2231,1135
161,Zollikon,8709,5336,5243,2851
171,Bauma,2799,1561,1542,442
172,Fehraltorf,3191,1836,1827,712
173,Hittnau,2237,1335,1312,499
174,Illnau-Effretikon,9951,5774,5682,2229
175,Kyburg,276,185,185,56
176,Lindau,2799,1703,1693,635
177,Pfäffikon,6651,3769,3707,1456
178,Russikon,2819,1740,1729,581
179,Sternenberg,274,158,156,70
180,Weisslingen,2162,1387,1374,506
181,Wila,1280,755,750,215
182,Wildberg,666,427,425,124
191,Dübendorf,14125,7458,7324,2795
192,Egg,5158,3036,2977,1284
193,Fällanden,4759,2612,2557,1242
194,Greifensee,3544,2089,2069,1023
195,Maur,6220,3877,3799,1769
196,Mönchaltorf,2380,1457,1444,608
197,Schwerzenbach,2724,1548,1536,629
198,Uster,18940,10982,10869,4717
199,Volketswil,9168,4791,4756,1523
200,Wangen-Brüttisellen,3745,1956,1941,624
211,Altikon,473,304,303,70
212,Bertschikon,699,439,436,108
213,Brütten,1381,919,902,361
214,Dägerlen,643,392,388,115
215,Dättlikon,409,283,282,128
216,Dinhard,1022,676,668,236
217,Elgg,2536,1533,1501,597
218,Ellikon an der Thur,534,320,320,87
219,Elsau,2164,1345,1326,499
220,Hagenbuch,753,450,439,110
221,Hettlingen,1966,1288,1244,473
222,Hofstetten (ZH),299,198,196,50
223,Neftenbach,3194,1908,1852,637
224,Pfungen,1679,927,903,288
225,Rickenbach (ZH),1786,1045,1039,356
226,Schlatt (ZH),462,303,300,102
227,Seuzach,4785,2967,2909,1011
228,Turbenthal,2681,1449,1425,449
229,Wiesendangen,3156,2021,1992,797
230,Winterthur,59754,35954,35197,16958
231,Zell (ZH),3165,1796,1773,617
241,Aesch (ZH),751,483,481,190
242,Birmensdorf (ZH),3751,2157,2133,806
243,Dietikon,11282,5751,5637,1814
244,Geroldswil,3099,1637,1625,521
245,Oberengstringen,3859,2049,2013,818
246,Oetwil an der Limmat,1617,916,912,331
247,Schlieren,6658,3408,3337,1141
248,Uitikon,2771,1776,1737,904
249,Unterengstringen,1933,1117,1105,373
250,Urdorf,6159,3460,3366,1221
251,Weiningen (ZH),2495,1346,1326,472
261,Zürich,217558,120401,117009,67213
301,Aarberg,2778,1534,1525,642
302,Bargen (BE),692,354,348,126
303,Grossaffoltern,2141,1127,1118,498
304,Kallnach,1124,600,598,187
305,Kappelen,831,387,384,118
306,Lyss,7344,3764,3735,1613
307,Meikirch,1876,1130,1122,606
308,Niederried bei Kallnach,218,93,90,31
309,Radelfingen,940,484,481,205
310,Rapperswil (BE),1580,775,772,349
311,Schüpfen,2484,1226,1212,576
312,Seedorf (BE),2292,1154,1141,428
321,Aarwangen,2802,1484,1478,464
322,Auswil,395,169,168,42
323,Bannwil,501,258,257,56
324,Bleienbach,544,272,270,72
325,Busswil bei Melchnau,166,78,78,16
326,Gondiswil,600,270,269,67
328,Kleindietwil,388,188,187,62
329,Langenthal,9417,5602,5566,2100
330,Leimiswil,358,148,148,40
331,Lotzwil/Gutenburg,1734,883,875,269
332,Madiswil,1535,777,772,218
333,Melchnau,1051,538,535,148
334,Obersteckholz,317,158,156,33
335,Oeschenbach,224,53,51,6
336,Reisiswil,169,85,85,20
337,Roggwil (BE),2602,1413,1410,424
338,Rohrbach,1143,502,499,129
339,Rohrbachgraben,319,150,148,43
340,Rütschelen,411,215,212,75
341,Schwarzhäusern,367,212,209,47
342,Thunstetten,2097,1061,1056,307
343,Untersteckholz,131,79,78,10
344,Ursenbach,687,304,304,82
345,Wynau,1071,577,575,133
351,Bern,85171,46278,45893,28933
352,Bolligen,4852,3116,3088,1813
353,Bremgarten bei Bern,2928,1967,1949,1168
354,Kirchlindach,2018,1346,1329,758
