bfs_gmde_nummer_2006,bfs_gmde_name_2006,Stimmberechtigte,Abgegebene Stimmen,Stimmbeteiligung,Gültige Stimmen,Ja-Stimmen,Ja in %
1,Aeugst am Albis,1198,661,55.17529215358932,640,420,65.625
2,Affoltern am Albis,6170,3036,49.20583468395462,2967,2137,72.02561509942703
3,Bonstetten,3203,1762,55.01092725569778,1746,1252,71.70675830469645
4,Hausen am Albis,2301,1200,52.15123859191656,1178,778,66.04414261460101
5,Hedingen,2149,1194,55.56072591903211,1178,825,70.0339558573854
6,Kappel am Albis,623,350,56.17977528089888,344,257,74.70930232558139
7,Knonau,1139,623,54.69710272168569,610,437,71.63934426229508
8,Maschwanden,423,229,54.1371158392435,227,156,68.72246696035242
9,Mettmenstetten,2807,1550,55.219095119344495,1528,1055,69.04450261780106
10,Obfelden,2928,1409,48.12158469945355,1391,1023,73.54421279654925
11,Ottenbach,1676,927,55.31026252983293,909,635,69.85698569856986
12,Rifferswil,596,382,64.09395973154362,376,214,56.91489361702128
13,Stallikon,1983,1078,54.36207766011094,1077,792,73.53760445682451
14,Wettswil am Albis,3048,1692,55.51181102362205,1670,1255,75.1497005988024
21,Adlikon,460,276,60.0,273,218,79.85347985347985
22,Benken (ZH),555,302,54.414414414414416,301,223,74.08637873754152
23,Berg am Irchel,445,244,54.831460674157306,241,190,78.83817427385893
24,Buch am Irchel,581,341,58.69191049913941,340,273,80.29411764705883
25,Dachsen,1201,617,51.37385512073273,604,430,71.19205298013244
26,Dorf,432,243,56.25,243,194,79.83539094650206
27,Feuerthalen,2120,1076,50.75471698113208,1061,798,75.21206409048068
28,Flaach,828,467,56.40096618357487,463,376,81.20950323974083
29,Flurlingen,948,576,60.75949367088608,565,401,70.97345132743362
30,Andelfingen,1221,772,63.22686322686323,764,558,73.03664921465969
31,Henggart,1336,755,56.51197604790419,742,574,77.35849056603774
32,Humlikon,324,182,56.17283950617284,180,144,80.0
33,Kleinandelfingen,1416,808,57.06214689265536,787,583,74.07878017789072
34,Laufen-Uhwiesen,1105,626,56.65158371040724,612,487,79.57516339869281
35,Marthalen,1359,780,57.395143487858725,765,565,73.8562091503268
36,Oberstammheim,801,428,53.433208489388264,414,296,71.49758454106279
37,Ossingen,968,494,51.03305785123967,494,375,75.91093117408907
38,Rheinau,861,460,53.42624854819977,454,293,64.53744493392071
39,Thalheim an der Thur,529,304,57.46691871455577,290,235,81.03448275862068
40,Trüllikon,780,414,53.07692307692308,409,310,75.79462102689487
41,Truttikon,342,226,66.08187134502924,224,167,74.55357142857143
42,Unterstammheim,643,331,51.47744945567651,329,222,67.47720364741642
43,Volken,209,124,59.33014354066985,120,99,82.5
44,Waltalingen,489,276,56.44171779141104,273,199,72.89377289377289
51,Bachenbülach,2267,1076,47.4636082928981,1071,788,73.57609710550888
52,Bassersdorf,6281,2934,46.712306957490846,2878,2138,74.28769979152189
53,Bülach,9858,4830,48.99573950091297,4719,3445,73.00275482093664
54,Dietlikon,4484,2558,57.047279214986624,2511,1847,73.5563520509757
55,Eglisau,2321,1323,57.00129254631624,1298,984,75.80893682588598
56,Embrach,5290,2455,46.40831758034027,2411,1861,77.18788884280382
57,Freienstein-Teufen,1566,832,53.12899106002554,823,582,70.71688942891859
58,Glattfelden,2490,1136,45.622489959839356,1126,866,76.90941385435168
59,Hochfelden,1206,660,54.72636815920397,651,547,84.02457757296466
60,Höri,1359,631,46.43119941133186,612,510,83.33333333333334
61,Hüntwangen,664,354,53.31325301204819,352,283,80.39772727272727
62,Kloten,10646,4920,46.21454067255307,4815,3747,77.81931464174455
63,Lufingen,1027,541,52.67770204479065,527,428,81.21442125237192
64,Nürensdorf,3499,2019,57.70220062875108,1978,1613,81.54701718907987
65,Oberembrach,744,448,60.215053763440864,445,361,81.12359550561797
66,Opfikon,6576,3070,46.68491484184915,3042,2327,76.49572649572649
67,Rafz,2449,1371,55.98203348305431,1338,965,72.12257100149478
68,Rorbas,1398,628,44.92131616595136,613,465,75.85644371941272
69,Wallisellen,7949,4182,52.610391244181656,4096,3159,77.1240234375
70,Wasterkingen,425,279,65.64705882352942,275,210,76.36363636363637
71,Wil (ZH),959,582,60.68821689259646,579,439,75.82037996545769
72,Winkel,2722,1461,53.67376928728875,1432,1175,82.05307262569832
81,Bachs,439,229,52.16400911161732,226,165,73.00884955752213
82,Boppelsen,861,466,54.12311265969802,465,350,75.26881720430107
83,Buchs (ZH),3236,1525,47.12608158220025,1494,1216,81.39223560910308
84,Dällikon,2111,993,47.03931785883467,981,777,79.20489296636084
85,Dänikon,1080,543,50.27777777777778,536,428,79.8507462686567
86,Dielsdorf,3177,1455,45.79792256846081,1436,1068,74.3732590529248
87,Hüttikon,413,215,52.05811138014528,215,186,86.51162790697674
88,Neerach,2094,1082,51.671442215854825,1077,878,81.52274837511607
89,Niederglatt,2701,1274,47.16771566086634,1250,1032,82.56
90,Niederhasli,4782,2289,47.867001254705144,2234,1790,80.1253357206804
91,Niederweningen,1639,807,49.23733984136669,791,604,76.35903919089759
92,Oberglatt,2901,1158,39.917269906928645,1139,892,78.31431079894644
93,Oberweningen,985,521,52.89340101522843,519,429,82.65895953757226
94,Otelfingen,1522,801,52.6281208935611,778,609,78.27763496143959
95,Regensberg,321,180,56.074766355140184,179,122,68.15642458100558
96,Regensdorf,8923,4238,47.49523702790541,4107,3216,78.30533235938641
97,Rümlang,3717,1860,50.04035512510089,1826,1411,77.27272727272727
98,Schleinikon,492,259,52.642276422764226,258,188,72.86821705426357
99,Schöfflisdorf,826,470,56.90072639225182,460,363,78.91304347826087
100,Stadel,1350,642,47.55555555555556,636,516,81.13207547169812
101,Steinmaur,2113,1008,47.70468528159015,991,731,73.7638748738648
102,Weiach,727,384,52.81980742778541,368,300,81.52173913043478
111,Bäretswil,3177,1554,48.91406987724268,1526,1148,75.22935779816514
112,Bubikon,4269,2295,53.75966268446943,2256,1673,74.15780141843972
113,Dürnten,4147,2105,50.75958524234386,2050,1550,75.60975609756098
114,Fischenthal,1442,665,46.116504854368934,662,521,78.70090634441088
115,Gossau (ZH),6492,3366,51.848428835489834,3328,2499,75.09014423076923
116,Grüningen,1986,1053,53.02114803625378,1038,789,76.01156069364163
117,Hinwil,6834,3366,49.25373134328358,3308,2509,75.84643288996372
118,Rüti (ZH),7330,3549,48.417462482946796,3456,2557,73.98726851851852
119,Seegräben,822,481,58.51581508515815,472,358,75.84745762711864
120,Wald (ZH),5474,2598,47.460723419802704,2551,1850,72.52058016464132
121,Wetzikon (ZH),12483,5998,48.04934711207242,5920,4261,71.97635135135135
131,Adliswil,9982,5134,51.43257864155479,5007,3536,70.62113041741563
132,Hirzel,1388,721,51.94524495677233,714,526,73.66946778711485
133,Horgen,11218,5857,52.210732750935996,5688,4056,71.30801687763713
134,Hütten,636,328,51.57232704402516,327,251,76.75840978593273
135,Kilchberg (ZH),4965,2766,55.70996978851964,2734,2004,73.29919531821507
136,Langnau am Albis,4511,2437,54.02349811571714,2388,1761,73.74371859296483
137,Oberrieden,3519,2062,58.59619210002842,2019,1447,71.6691431401684
138,Richterswil,7600,3916,51.526315789473685,3860,2803,72.61658031088083
139,Rüschlikon,3384,1903,56.23522458628841,1895,1421,74.9868073878628
140,Schönenberg (ZH),1460,986,67.53424657534246,957,736,76.90700104493207
141,Thalwil,11005,5931,53.89368468877783,5791,4010,69.24538076325332
142,Wädenswil,12910,6645,51.47172734314485,6535,4647,71.10941086457537
151,Erlenbach (ZH),3464,1992,57.505773672055426,1934,1455,75.23267838676318
152,Herrliberg,4015,2497,62.19178082191781,2483,1898,76.43979057591623
153,Hombrechtikon,5205,2456,47.18539865513929,2416,1836,75.99337748344371
154,Küsnacht (ZH),9051,5457,60.29168047729533,5373,4097,76.25162851293504
155,Männedorf,6567,3745,57.027562052687685,3675,2543,69.19727891156462
156,Meilen,8437,4793,56.809292402512746,4652,3442,73.9896818572657
157,Oetwil am See,2536,1124,44.321766561514195,1099,828,75.34121929026387
158,Stäfa,9162,5355,58.447937131630646,5236,3671,70.11077158135983
159,Uetikon am See,3670,2017,54.95912806539509,2002,1336,66.73326673326673
160,Zumikon,3401,2181,64.12819758894443,2131,1641,77.00610042233693
161,Zollikon,8506,5013,58.93486950387962,4869,3472,71.30827685356336
171,Bauma,2749,1357,49.363404874499814,1347,1047,77.728285077951
172,Fehraltorf,3458,1798,51.99537304800462,1771,1372,77.4703557312253
173,Hittnau,2273,1152,50.68191816981962,1144,872,76.22377622377621
174,Illnau-Effretikon,10081,5279,52.365836722547364,5166,3785,73.26751838946961
175,Kyburg,289,154,53.28719723183391,152,118,77.63157894736842
176,Lindau,2954,1667,56.43195666892349,1641,1260,76.78244972577697
177,Pfäffikon,6785,3570,52.616064848931465,3514,2540,72.28229937393283
178,Russikon,2817,1542,54.73908413205538,1530,1194,78.03921568627452
179,Sternenberg,274,138,50.36496350364964,138,86,62.31884057971014
180,Weisslingen,2264,1201,53.04770318021201,1194,912,76.38190954773869
181,Wila,1341,721,53.765846383296044,711,521,73.27707454289732
182,Wildberg,672,371,55.208333333333336,366,292,79.78142076502732
191,Dübendorf,14116,6757,47.867667894587704,6620,4973,75.12084592145015
192,Egg,5239,2841,54.227906088948274,2792,2022,72.42120343839542
193,Fällanden,4771,2412,50.55543911129742,2373,1693,71.34428992836072
194,Greifensee,3450,1796,52.05797101449276,1778,1267,71.25984251968504
195,Maur,6277,3685,58.70638840210292,3586,2625,73.20133853876185
196,Mönchaltorf,2355,1214,51.54989384288747,1198,860,71.78631051752922
197,Schwerzenbach,2720,1350,49.63235294117647,1322,950,71.86081694402421
