bfs_gmde_nummer_2021,bfs_gmde_name_2021,Stimmberechtigte,eingelegte Stimmzettel,Stimmbeteiligung,leere Stimmzettel,ungültige Stimmzettel,gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in Prozent
1,Aeugst am Albis,1418,1022,72.0733427362483,3,0,1019,542,477,53.189401373896
2,Affoltern am Albis,7197,4189,58.204807558705,29,0,4160,2132,2028,51.25
3,Bonstetten,3665,2389,65.1841746248295,16,0,2373,1307,1066,55.0779603876949
4,Hausen am Albis,2559,1763,68.8940992575225,11,0,1752,876,876,50.0
5,Hedingen,2523,1751,69.40150614348,10,2,1739,950,789,54.6290971822887
6,Kappel am Albis,799,576,72.090112640801,8,0,568,239,329,42.0774647887324
7,Knonau,1498,1004,67.022696929239,7,0,997,480,517,48.1444332998997
8,Maschwanden,451,336,74.5011086474501,3,0,333,148,185,44.4444444444444
9,Mettmenstetten,3645,2634,72.2633744855967,10,0,2624,1339,1285,51.0289634146342
10,Obfelden,3542,2199,62.0835686053078,16,0,2183,969,1214,44.388456252863
11,Ottenbach,1920,1333,69.4270833333333,7,0,1326,640,686,48.2654600301659
12,Rifferswil,791,643,81.2895069532238,1,0,642,346,296,53.8940809968847
13,Stallikon,2399,1598,66.6110879533139,9,0,1589,791,798,49.7797356828194
14,Wettswil am Albis,3446,2308,66.9762042948346,15,0,2293,1245,1048,54.295682511993
21,Adlikon,494,392,79.3522267206478,1,0,391,115,276,29.4117647058824
22,Benken (ZH),597,440,73.7018425460637,2,0,438,157,281,35.8447488584475
23,Berg am Irchel,454,359,79.0748898678414,3,0,356,124,232,34.8314606741573
24,Buch am Irchel,726,534,73.5537190082645,4,0,530,210,320,39.622641509434
25,Dachsen,1353,857,63.3407243163341,14,0,843,443,400,52.5504151838672
26,Dorf,490,357,72.8571428571429,7,0,350,112,238,32.0
27,Feuerthalen,2297,1361,59.2511972137571,22,0,1339,651,688,48.6183719193428
28,Flaach,967,698,72.182006204757,15,0,683,256,427,37.4816983894583
29,Flurlingen,1046,729,69.6940726577438,10,0,719,407,312,56.6063977746871
30,Andelfingen,1521,1104,72.5838264299803,7,1,1096,580,516,52.9197080291971
31,Henggart,1681,1196,71.1481261154075,10,0,1186,525,661,44.2664418212479
32,Humlikon,347,259,74.6397694524496,0,0,259,99,160,38.2239382239382
33,Kleinandelfingen,1485,1036,69.7643097643098,8,0,1028,388,640,37.7431906614786
34,Laufen-Uhwiesen,1270,851,67.0078740157481,7,0,844,389,455,46.0900473933649
35,Marthalen,1385,998,72.057761732852,7,0,991,397,594,40.0605449041372
37,Ossingen,1248,881,70.5929487179488,5,0,876,359,517,40.9817351598174
38,Rheinau,851,625,73.4430082256169,9,0,616,307,309,49.8376623376624
39,Thalheim an der Thur,682,508,74.4868035190616,3,0,505,158,347,31.2871287128713
40,Trüllikon,805,516,64.0993788819876,2,0,514,181,333,35.2140077821012
41,Truttikon,350,288,82.2857142857143,3,0,285,99,186,34.7368421052632
43,Volken,262,196,74.8091603053435,6,0,190,65,125,34.2105263157895
51,Bachenbülach,2545,1392,54.6954813359529,18,0,1374,643,731,46.7976710334789
52,Bassersdorf,7241,3998,55.2133683192929,20,0,3978,1765,2213,44.3690296631473
53,Bülach,12892,6883,53.3896990381632,34,8,6841,3346,3495,48.9109779272036
54,Dietlikon,4725,2784,58.9206349206349,23,0,2761,1421,1340,51.4668598333937
55,Eglisau,3290,2179,66.2310030395137,17,0,2162,1093,1069,50.5550416281221
56,Embrach,5640,3054,54.1489361702128,12,0,3042,1227,1815,40.3353057199211
57,Freienstein-Teufen,1670,1130,67.6646706586827,15,0,1115,497,618,44.5739910313901
58,Glattfelden,3142,1826,58.115849777212,10,0,1816,686,1130,37.7753303964758
59,Hochfelden,1337,850,63.5751682872102,5,0,845,302,543,35.7396449704142
60,Höri,1530,800,52.2875816993464,5,0,795,230,565,28.9308176100629
61,Hüntwangen,760,515,67.7631578947369,4,0,511,228,283,44.6183953033268
62,Kloten,11232,5433,48.3707264957265,45,0,5388,2171,3217,40.2932442464737
63,Lufingen,1629,971,59.6071209330878,3,0,968,331,637,34.1942148760331
64,Nürensdorf,3893,2569,65.990238890316,18,0,2551,997,1554,39.0827126617013
65,Oberembrach,827,566,68.4401451027812,7,0,559,186,373,33.2737030411449
66,Opfikon,9239,4047,43.8034419309449,38,2,4007,1830,2177,45.6700773646119
67,Rafz,2952,1937,65.6165311653117,11,0,1926,860,1066,44.6521287642783
68,Rorbas,1649,872,52.8805336567617,4,0,868,345,523,39.7465437788019
