bfs_gmde_nummer_2000,bfs_gmde_name_2000,Stimmberechtigte ,Abgegebene Stimmen ,Gültige Stimmen,JA
1,Aeugst am Albis,1106,582,572,261
2,Affoltern am Albis,5794,2725,2713,1035
3,Bonstetten,2719,1413,1393,571
4,Hausen am Albis,2132,1105,1089,474
5,Hedingen,1921,1060,1045,452
6,Kappel am Albis,626,358,354,139
7,Knonau,974,522,499,203
8,Maschwanden,404,208,206,89
9,Mettmenstetten,2526,1328,1297,538
10,Obfelden,2779,1343,1324,460
11,Ottenbach,1584,823,810,339
12,Rifferswil,518,326,320,178
13,Stallikon,1874,995,977,305
14,Wettswil am Albis,2809,1542,1522,509
21,Adlikon,421,266,258,47
22,Benken (ZH),491,273,264,61
23,Berg am Irchel,404,195,189,71
24,Buch am Irchel,525,263,263,71
25,Dachsen,1083,527,527,173
26,Dorf,409,218,213,60
27,Feuerthalen,1965,910,893,260
28,Flaach,750,407,397,97
29,Flurlingen,911,501,483,166
30,Andelfingen,1131,649,642,188
31,Henggart,1126,613,603,161
32,Humlikon,296,190,190,57
33,Kleinandelfingen,1243,683,683,202
34,Laufen-Uhwiesen,1058,544,532,136
35,Marthalen,1270,681,671,199
36,Oberstammheim,769,457,455,150
37,Ossingen,880,483,473,135
38,Rheinau,818,409,409,165
39,Thalheim an der Thur,472,233,233,74
40,Trüllikon,759,399,392,112
41,Truttikon,300,189,184,43
42,Unterstammheim,603,309,296,121
43,Volken,191,82,82,17
44,Waltalingen,452,272,272,85
51,Bachenbülach,1818,816,816,289
52,Bassersdorf,4804,2174,2112,796
53,Bülach,8792,4390,4244,1439
54,Dietlikon,4051,1934,1882,689
55,Eglisau,1953,1060,1044,334
56,Embrach,4504,1916,1871,531
57,Freienstein-Teufen,1389,709,700,241
58,Glattfelden,2206,1007,985,324
59,Hochfelden,1039,518,507,172
60,Höri,1209,481,477,104
61,Hüntwangen,584,286,286,86
62,Kloten,10285,4414,4316,1393
63,Lufingen,843,419,414,93
64,Nürensdorf,3193,1761,1722,442
65,Oberembrach,736,371,360,92
66,Opfikon,6504,2871,2769,908
67,Rafz,2115,1062,1040,339
68,Rorbas,1374,574,563,178
69,Wallisellen,7840,3955,3863,1311
70,Wasterkingen,409,230,230,78
71,Wil (ZH),937,464,463,107
72,Winkel,2416,1211,1189,300
81,Bachs,410,215,210,64
82,Boppelsen,749,410,410,126
83,Buchs (ZH),2603,1070,1063,271
84,Dällikon,2032,874,862,209
85,Dänikon,1042,479,474,123
86,Dielsdorf,2833,1262,1243,394
87,Hüttikon,370,180,172,39
88,Neerach,1768,894,861,182
89,Niederglatt,2421,1055,1055,239
90,Niederhasli,4677,2104,2042,618
91,Niederweningen,1435,694,690,229
92,Oberglatt,2854,1123,1091,301
93,Oberweningen,838,429,420,130
94,Otelfingen,1275,606,600,169
95,Regensberg,349,204,204,70
96,Regensdorf,8345,3582,3464,739
97,Rümlang,3487,1739,1721,488
98,Schleinikon,462,239,237,89
99,Schöfflisdorf,745,391,391,112
100,Stadel,1265,585,574,129
101,Steinmaur,1885,878,868,256
102,Weiach,692,356,338,75
111,Bäretswil,2912,1383,1351,414
112,Bubikon,3724,1873,1873,658
113,Dürnten,4001,1924,1910,551
114,Fischenthal,1312,535,520,159
115,Gossau (ZH),5925,2858,2788,956
116,Grüningen,1887,939,917,302
117,Hinwil,6306,2916,2835,972
118,Rüti (ZH),6894,3084,3058,1061
119,Seegräben,804,450,445,181
120,Wald (ZH),5027,2178,2177,765
121,Wetzikon (ZH),11361,4881,4739,1642
131,Adliswil,10021,4926,4750,1550
132,Hirzel,1379,672,659,201
133,Horgen,10725,5226,5080,1637
134,Hütten,606,232,232,46
135,Kilchberg (ZH),5069,2798,2714,776
136,Langnau am Albis,4453,2227,2167,662
137,Oberrieden,3377,1916,1910,608
138,Richterswil,7021,3348,3265,1094
139,Rüschlikon,3310,1771,1771,509
140,Schönenberg (ZH),1311,673,673,146
141,Thalwil,10569,5457,5284,2019
142,Wädenswil,12507,6377,6220,2221
151,Erlenbach (ZH),3144,1796,1796,497
152,Herrliberg,3988,2324,2269,638
153,Hombrechtikon,4716,2122,2096,735
154,Küsnacht (ZH),8938,5027,4939,1440
155,Männedorf,5711,3084,3026,1109
156,Meilen,8217,4268,4135,1384
157,Oetwil am See,2383,962,962,296
158,Stäfa,8103,4440,4377,1739
159,Uetikon am See,3318,1717,1717,559
160,Zumikon,3283,1992,1944,476
161,Zollikon,8439,4844,4733,1526
171,Bauma,2710,1248,1220,379
172,Fehraltorf,3000,1446,1424,484
173,Hittnau,2027,1015,992,319
174,Illnau-Effretikon,9671,4664,4524,1718
175,Kyburg,279,175,172,68
176,Lindau,2520,1310,1275,454
177,Pfäffikon,6025,2745,2687,999
178,Russikon,2684,1347,1346,389
179,Sternenberg,256,137,137,59
180,Weisslingen,2060,1037,1018,290
181,Wila,1225,614,607,209
182,Wildberg,659,379,376,101
191,Dübendorf,13959,5972,5809,1995
192,Egg,4935,2498,2426,791
193,Fällanden,4501,2217,2159,805
194,Greifensee,3520,1781,1732,669
195,Maur,6005,3280,3187,999
196,Mönchaltorf,2354,1167,1140,447
197,Schwerzenbach,2674,1253,1223,456
198,Uster,17743,8839,8624,3398
199,Volketswil,8755,3613,3548,989
200,Wangen-Brüttisellen,3435,1561,1561,445
211,Altikon,450,235,231,54
212,Bertschikon,691,361,359,88
213,Brütten,1297,768,751,217
214,Dägerlen,586,325,317,82
215,Dättlikon,398,239,231,83
216,Dinhard,952,533,519,171
217,Elgg,2425,1268,1250,467
218,Ellikon an der Thur,520,226,225,49
219,Elsau,2062,1081,1063,345
220,Hagenbuch,718,360,352,100
221,Hettlingen,1658,913,891,284
222,Hofstetten bei Elgg,320,194,188,43
223,Neftenbach,3059,1507,1472,389
224,Pfungen,1505,726,708,191
225,Rickenbach (ZH),1472,774,758,208
226,Schlatt (ZH),435,256,249,79
227,Seuzach,4628,2353,2289,652
228,Turbenthal,2486,1161,1127,394
229,Wiesendangen,3005,1737,1704,495
230,Winterthur,57094,29534,28345,11731
231,Zell (ZH),2891,1365,1363,414
241,Aesch bei Birmensdorf,743,430,414,130
242,Birmensdorf (ZH),3733,1854,1825,568
243,Dietikon,11249,4911,4783,1580
244,Geroldswil,3131,1379,1338,326
245,Oberengstringen,3855,1868,1813,534
246,Oetwil an der Limmat,1568,772,752,147
247,Schlieren,6695,2890,2828,965
248,Uitikon,2629,1578,1550,390
249,Unterengstringen,1957,1016,1009,208
250,Urdorf,6123,2873,2809,913
251,Weiningen (ZH),2370,1110,1076,296
261,Zürich,216046,107303,103214,50602
301,Aarberg,2654,1263,1238,344
302,Bargen (BE),642,279,279,78
303,Grossaffoltern,2121,942,942,271
304,Kallnach,1109,529,527,102
305,Kappelen,722,324,323,77
306,Lyss,6986,2925,2872,878
307,Meikirch,1844,966,960,348
308,Niederried bei Kallnach,203,109,109,20
309,Radelfingen,907,467,467,141
310,Rapperswil (BE),1484,667,667,186
311,Schüpfen,2400,1110,1090,366
312,Seedorf (BE),2227,990,990,251
321,Aarwangen,2651,1286,1252,312
322,Auswil,395,128,128,22
323,Bannwil,496,203,196,44
324,Bleienbach,532,196,196,48
325,Busswil bei Melchnau,156,77,77,10
326,Gondiswil,608,220,220,56
328,Kleindietwil,390,169,161,48
329,Langenthal,9332,4414,4351,1269
330,Leimiswil,355,116,116,17
331,Lotzwil/Gutenburg,1686,768,768,179
332,Madiswil,1557,657,636,148
333,Melchnau,1034,445,439,108
334,Obersteckholz,339,135,135,20
335,Oeschenbach,222,56,56,7
336,Reisiswil,153,52,52,9
337,Roggwil (BE),2496,1094,1068,302
338,Rohrbach,1104,391,391,110
339,Rohrbachgraben,338,137,135,24
340,Rütschelen,427,197,197,47
341,Schwarzhäusern,357,183,182,46
342,Thunstetten,2076,872,872,208
343,Untersteckholz,133,69,67,8
344,Ursenbach,691,245,245,57
345,Wynau,1100,459,459,103
351,Bern,86230,43609,43526,20989
352,Bolligen,4730,2791,2791,909
