gemeindestand,anz_gmde
01-01-1981,3025
01-01-1982,3024
25-02-1982,3022
01-01-1983,3024
01-06-1983,3023
01-01-1984,3022
01-01-1986,3022
01-01-1987,3022
01-01-1989,3021
01-01-1990,3021
01-01-1991,3018
01-01-1992,3017
01-01-1993,3015
01-01-1994,3013
01-09-1994,3012
01-01-1995,2975
31-12-1994,3013
01-06-1995,2973
01-01-1996,2940
31-12-1995,2974
01-06-1996,2940
01-07-1996,2940
01-12-1996,2940
01-01-1997,2929
31-12-1996,2941
01-01-1998,2915
31-12-1997,2930
01-07-1998,2914
01-01-1999,2903
01-01-2000,2899
01-10-2000,2896
01-01-2001,2880
13-04-2001,2878
18-10-2001,2873
01-01-2002,2865
01-01-2003,2842
01-11-2003,2840
01-01-2004,2815
04-04-2004,2781
01-09-2004,2780
01-10-2004,2775
01-01-2005,2763
13-03-2005,2758
01-01-2006,2740
29-01-2006,2737
01-07-2006,2732
01-09-2006,2732
22-10-2006,2726
01-12-2006,2726
01-01-2007,2721
01-01-2008,2715
20-04-2008,2706
01-01-2009,2636
05-04-2009,2631
25-10-2009,2624
01-01-2010,2596
25-04-2010,2588
21-11-2010,2584
01-01-2011,2551
01-07-2011,2515
01-01-2012,2495
01-04-2012,2485
01-01-2013,2408
14-04-2013,2396
01-01-2014,2352
01-05-2014,2352
01-01-2015,2324
01-01-2016,2294
10-04-2016,2289
01-07-2016,2287
01-01-2017,2255
02-04-2017,2240
01-01-2018,2222
01-04-2018,2222
01-01-2019,2212
01-01-2020,2202
01-10-2020,2202
17-10-2020,2203
18-10-2020,2198
01-01-2021,2172
18-04-2021,2169
01-07-2021,2163
01-01-2022,2148
10-04-2022,2146
01-05-2022,2145
01-01-2023,2136
01-01-2024,2131
01-03-2024,2131
01-01-2023,2136
01-01-2024,2131
01-03-2024,2131
